query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
bird on left,early bird,01503061-n,10041684-n,False,2,False,True,True,0.1568,0.0965
bird's tail tip,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0432,0.0761
number of birds,finch,01503061-n,01529672-n,False,-1,False,False,False,0.0353,0.0617
little black bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0208,0.0608
four birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.042,0.037
bird is perched,bird feeder,01503061-n,02843553-n,False,2,False,True,True,0.0417,0.0278
small white bird,pigeon hawk,01503061-n,01612275-n,False,4,False,False,True,0.0227,0.0267
bird's,bird's nest,01503061-n,09221571-n,False,-1,False,False,False,0.0223,0.022
birds eating,bird feed,01503061-n,07805594-n,False,-1,False,False,False,0.0219,0.0405
tail of the bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0202,0.0246
swans are large bird,swan,01503061-n,01858441-n,False,-1,False,False,False,0.0223,0.0722
many birds,bird of paradise,01503061-n,01571126-n,False,-1,False,False,False,0.027,0.0337
black bird,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0217,0.0282
bird dropping,pigeon droppings,01503061-n,14854764-n,False,-1,False,False,False,0.023,0.0809
dark birds.,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0429,0.0489
"small bird,",dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.0336,0.0525
wing of the bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0198,0.0487
five birds,birdcall,01503061-n,02843465-n,False,-1,False,False,False,0.0199,0.0486
bunch of birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.0203,0.0463
foot of bird,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0197,0.0411
small bird,dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.0203,0.0005
birds beak,beak,01503061-n,12875594-n,False,-1,False,False,False,0.0197,0.0627
six birds,six,01503061-n,13744722-n,False,-1,False,False,False,0.0201,0.0474
horse and bird,bird,01503061-n,07644382-n,False,2,False,True,True,0.0194,0.0148
black birds,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0202,0.012
middle bird,early bird,01503061-n,10041684-n,False,-1,False,False,False,0.0201,0.0251
some birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.0201,0.0004
lone bird,young bird,01503061-n,01613615-n,False,-1,False,False,False,0.0192,0.0428
flying birds.,fly,01503061-n,02190166-n,False,-1,False,False,False,0.0208,0.0469
bird,bird,01503061-n,07644382-n,False,4,False,False,True,0.0215,0.0128
caged bird,birdcage,01503061-n,02843276-n,False,-1,False,False,False,0.0204,0.0384
little white birds,white-throated sparrow,01503061-n,01535469-n,False,-1,False,False,False,0.0212,0.0253
birds,bird,01503061-n,07644382-n,False,2,False,True,True,0.0196,0.0006
