query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
tench,tench,01440764-n,01440764-n,True,1,True,True,True,0.0552,0.065
Tinca tinca,Tinca,01440764-n,01440655-n,False,-1,False,False,False,0.0206,0.0476
goldfish,goldfish,01443537-n,01443537-n,True,1,True,True,True,0.0207,0.0639
Carassius auratus,Carassius,01443537-n,01443398-n,False,-1,False,False,False,0.0213,0.0354
great white shark,great white shark,01484850-n,01484850-n,True,1,True,True,True,0.0218,0.0736
white shark,shark,01484850-n,10586674-n,False,5,False,False,True,0.0231,0.0141
man-eater,eater,01484850-n,07708260-n,False,-1,False,False,False,0.0222,0.0687
man-eating shark,shark,01484850-n,10586674-n,False,-1,False,False,False,0.0217,0.0492
Carcharodon carcharias,Carcharodon,01484850-n,01484717-n,False,-1,False,False,False,0.0327,0.0548
tiger shark,tiger shark,01491361-n,01491361-n,True,1,True,True,True,0.0222,0.0407
Galeocerdo cuvieri,Galeocerdo,01491361-n,01491235-n,False,-1,False,False,False,0.0218,0.0456
hammerhead,hammerhead,01494475-n,03482128-n,False,2,False,True,True,0.0203,0.0722
hammerhead shark,hammerhead,01494475-n,01494475-n,True,1,True,True,True,0.0205,0.0113
electric ray,electric ray,01496331-n,01496331-n,True,1,True,True,True,0.023,0.0745
crampfish,crayfish,01496331-n,07788885-n,False,-1,False,False,False,0.021,0.0708
numbfish,triggerfish,01496331-n,02653145-n,False,-1,False,False,False,0.0225,0.0715
torpedo,torpedo,01496331-n,04457157-n,False,-1,False,False,False,0.0205,0.0811
stingray,stingray,01498041-n,01498041-n,True,1,True,True,True,0.0216,0.0681
cock,cock,01514668-n,05526713-n,False,3,False,True,True,0.0206,0.0598
hen,hen,01514859-n,01792640-n,False,3,False,True,True,0.0217,0.0613
ostrich,ostrich,01518878-n,01518878-n,True,1,True,True,True,0.0212,0.0799
Struthio camelus,Struthio,01518878-n,01518718-n,False,-1,False,False,False,0.0216,0.0633
brambling,brambling,01530575-n,01530575-n,True,1,True,True,True,0.0208,0.0586
Fringilla montifringilla,Fringilla,01530575-n,01530256-n,False,-1,False,False,False,0.0204,0.0625
goldfinch,goldfinch,01531178-n,01531178-n,True,1,True,True,True,0.02,0.0649
Carduelis carduelis,Carduelis,01531178-n,01530846-n,False,-1,False,False,False,0.0208,0.0695
house finch,house finch,01532829-n,01532829-n,True,1,True,True,True,0.0216,0.0623
linnet,linnet,01532829-n,01531344-n,False,-1,False,False,False,0.0218,0.0659
Carpodacus mexicanus,Carphophis,01532829-n,01728445-n,False,-1,False,False,False,0.0222,0.053
junco,junco,01534433-n,01534433-n,True,1,True,True,True,0.0221,0.071
snowbird,catbird,01534433-n,01587526-n,False,-1,False,False,False,0.0224,0.0712
indigo bunting,indigo bunting,01537544-n,01537544-n,True,1,True,True,True,0.0219,0.0675
indigo finch,purple finch,01537544-n,01533000-n,False,-1,False,False,False,0.0226,0.0007
indigo bird,bird of paradise,01537544-n,01571126-n,False,-1,False,False,False,0.0208,0.0659
Passerina cyanea,Passerina,01537544-n,01537360-n,False,-1,False,False,False,0.0245,0.0641
robin,robin,01558993-n,01562265-n,False,2,False,True,True,0.0206,0.0658
American robin,robin,01558993-n,01558993-n,True,1,True,True,True,0.0212,0.0269
Turdus migratorius,Turdus,01558993-n,01557697-n,False,-1,False,False,False,0.024,0.067
bulbul,bulbul,01560419-n,01560419-n,True,1,True,True,True,0.0207,0.0642
jay,Jay,01580077-n,11081111-n,False,2,False,True,True,0.0243,0.0583
magpie,magpie,01582220-n,10281276-n,False,2,False,True,True,0.0233,0.0651
