query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
bird on left,bird,01503061-n,01503061-n,True,2.49,0.12
bird's tail tip,bird's foot,01503061-n,02154416-n,False,3.41,0.09
number of birds,bird's nest,01503061-n,09221571-n,False,2.63,0.08
little black bird,pigeon hawk,01503061-n,01612275-n,False,2.47,0.11
four birds,dove,01503061-n,01812337-n,False,2.49,0.08
bird is perched,bird feeder,01503061-n,02843553-n,False,2.48,0.09
small white bird,white-throated sparrow,01503061-n,01535469-n,False,2.49,0.09
bird's,bird's foot,01503061-n,02154416-n,False,2.52,0.08
birds eating,bird feed,01503061-n,07805594-n,False,2.47,0.09
tail of the bird,bird's foot,01503061-n,02154416-n,False,2.48,0.08
swans are large bird,swan,01503061-n,01858441-n,False,2.47,0.09
many birds,bird of paradise,01503061-n,01571126-n,False,2.47,0.08
black bird,New World blackbird,01503061-n,01574045-n,False,2.5,0.09
bird dropping,pigeon droppings,01503061-n,14854764-n,False,2.49,0.08
dark birds.,night bird,01503061-n,01515078-n,False,2.48,0.09
"small bird,",Java sparrow,01503061-n,01543632-n,False,2.51,0.08
wing of the bird,bird,01503061-n,01503061-n,True,2.46,0.09
five birds,birdcall,01503061-n,02843465-n,False,2.47,0.08
bunch of birds,dove,01503061-n,01812337-n,False,2.49,0.08
foot of bird,bird's foot,01503061-n,02154416-n,False,2.46,0.09
small bird,Java sparrow,01503061-n,01543632-n,False,2.48,0.11
birds beak,beak,01503061-n,01758510-n,False,2.65,0.11
six birds,six,01503061-n,13744722-n,False,2.61,0.08
horse and bird,bird,01503061-n,07644382-n,False,2.5,0.09
black birds,New World blackbird,01503061-n,01574045-n,False,2.49,0.12
middle bird,early bird,01503061-n,10041684-n,False,2.49,0.11
some birds,bird,01503061-n,07644382-n,False,2.6,0.11
lone bird,young bird,01503061-n,01613615-n,False,2.49,0.1
flying birds.,fly,01503061-n,02190166-n,False,2.49,0.1
bird,bird,01503061-n,07644382-n,False,2.49,0.12
caged bird,birdcage,01503061-n,02843276-n,False,2.52,0.09
little white birds,white-throated sparrow,01503061-n,01535469-n,False,2.48,0.09
birds,bird,01503061-n,07644382-n,False,2.46,0.09
"bird,",bird,01503061-n,07644382-n,False,2.48,0.09
bird is lone,rare bird,01503061-n,10507692-n,False,2.49,0.08
large predatory bird,bird of prey,01503061-n,01604330-n,False,2.47,0.61
bird flying,flight,01503061-n,02484771-v,False,2.55,0.08
group of birds,flock,01503061-n,07990956-n,False,2.69,0.59
white bird,white-crowned sparrow,01503061-n,01535690-n,False,2.5,0.09
