query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
bird on left,early bird,01503061-n,10041684-n,False,2,False,True,True,0.0536,0.0841
bird's tail tip,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0429,0.0636
number of birds,bird genus,01503061-n,01507175-n,False,-1,False,False,False,0.0206,0.0532
little black bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0227,0.0596
four birds,four,01503061-n,13744304-n,False,-1,False,False,False,0.0226,0.0382
bird is perched,bird feeder,01503061-n,02843553-n,False,3,False,True,True,0.0231,0.0292
small white bird,pigeon hawk,01503061-n,01612275-n,False,4,False,False,True,0.0217,0.0271
bird's,bird's nest,01503061-n,09221571-n,False,-1,False,False,False,0.0212,0.0218
birds eating,bird feed,01503061-n,07805594-n,False,-1,False,False,False,0.0205,0.0403
tail of the bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0205,0.0228
swans are large bird,swan,01503061-n,01858441-n,False,-1,False,False,False,0.0198,0.0616
many birds,bird of paradise,01503061-n,01571126-n,False,-1,False,False,False,0.0202,0.0239
black bird,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0207,0.0248
bird dropping,pigeon droppings,01503061-n,14854764-n,False,-1,False,False,False,0.022,0.057
dark birds.,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.022,0.0385
"small bird,",dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.02,0.0518
wing of the bird,wing,01503061-n,07648549-n,False,5,False,False,True,0.0208,0.0477
five birds,five,01503061-n,13744521-n,False,-1,False,False,False,0.0204,0.0455
bunch of birds,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0201,0.0431
foot of bird,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0204,0.0409
small bird,dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.02,0.0005
birds beak,beak,01503061-n,12875594-n,False,-1,False,False,False,0.0224,0.0642
six birds,six,01503061-n,13744722-n,False,-1,False,False,False,0.0206,0.0451
horse and bird,bird,01503061-n,07644382-n,False,2,False,True,True,0.0204,0.0144
black birds,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0202,0.0114
middle bird,early bird,01503061-n,10041684-n,False,-1,False,False,False,0.0206,0.0234
some birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.0215,0.0005
lone bird,young bird,01503061-n,01613615-n,False,-1,False,False,False,0.021,0.0428
flying birds.,flight,01503061-n,08220620-n,False,-1,False,False,False,0.0199,0.0472
bird,bird,01503061-n,07644382-n,False,4,False,False,True,0.0197,0.0127
caged bird,birdcage,01503061-n,02843276-n,False,-1,False,False,False,0.0484,0.041
little white birds,white-throated sparrow,01503061-n,01535469-n,False,-1,False,False,False,0.0391,0.0237
birds,bird,01503061-n,07644382-n,False,2,False,True,True,0.0216,0.0004
"bird,",bird,01503061-n,07644382-n,False,3,False,True,True,0.0227,0.0006
bird is lone,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0215,0.0006
large predatory bird,bird of prey,01503061-n,01604330-n,False,-1,False,False,False,0.0227,0.0303
bird flying,flight,01503061-n,08220620-n,False,-1,False,False,False,0.0209,0.0112
group of birds,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0202,0.0154
white bird,white-throated sparrow,01503061-n,01535469-n,False,4,False,False,True,0.0204,0.0005
bird is exotic,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0225,0.0224
this is a bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0208,0.0005
angry bird,gallows bird,01503061-n,10118208-n,False,2,False,True,True,0.0218,0.013
blue bird,bluebird,01503061-n,01562014-n,False,-1,False,False,False,0.0207,0.0471
beak of the bird,beak,01503061-n,12875594-n,False,-1,False,False,False,0.0209,0.0004
family of birds,bird family,01503061-n,01504437-n,False,-1,False,False,False,0.0203,0.0562
brown bird,prairie chicken,01503061-n,01798484-n,False,-1,False,False,False,0.0215,0.0292
seven birds,seven,01503061-n,13744916-n,False,-1,False,False,False,0.0219,0.0247
flock of birds.,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0218,0.0365
one bird,birdie,01503061-n,13595276-n,False,-1,False,False,False,0.0206,0.0245
colorful bird,parrot,01503061-n,01816887-n,False,2,False,True,True,0.0227,0.043
bird 3,game bird,01503061-n,02153203-n,False,-1,False,False,False,0.0211,0.0005
bird 2,game bird,01503061-n,02153203-n,False,3,False,True,True,0.0202,0.0005
bird in it,game bird,01503061-n,02153203-n,False,-1,False,False,False,0.0211,0.0007
small birds perched,bird feeder,01503061-n,02843553-n,False,-1,False,False,False,0.0201,0.0141
band like a bird,band,01503061-n,02785191-n,False,-1,False,False,False,0.0215,0.0521
grey bird,African grey,01503061-n,01817953-n,False,-1,False,False,False,0.0206,0.0649
bird is unusual,rare bird,01503061-n,10507692-n,False,4,False,False,True,0.0204,0.0005
large bird,elephant bird,01503061-n,01522450-n,False,-1,False,False,False,0.0211,0.0005
front of bird,front,01503061-n,03398467-n,False,-1,False,False,False,0.0203,0.0485
three birds,bird family,01503061-n,01504437-n,False,2,False,True,True,0.0209,0.0101
head of bird,secretary bird,01503061-n,01618503-n,False,-1,False,False,False,0.0205,0.0226
small bird flying,hummingbird,01503061-n,01833805-n,False,-1,False,False,False,0.0204,0.0375
bird is white,white-throated sparrow,01503061-n,01535469-n,False,-1,False,False,False,0.0212,0.0142
birds face,bird's eye view,01503061-n,06209101-n,False,-1,False,False,False,0.0219,0.0284
green birds,bird of paradise,01503061-n,01571126-n,False,-1,False,False,False,0.023,0.0134
variety of birds,bird genus,01503061-n,01507175-n,False,3,False,True,True,0.0344,0.0007
red angry bird,redstart,01503061-n,01561452-n,False,-1,False,False,False,0.0216,0.0565
flying bird.,flight,01503061-n,08220620-n,False,2,False,True,True,0.0211,0.0103
big flying bird,elephant bird,01503061-n,01522450-n,False,-1,False,False,False,0.0219,0.0276
birds flying.,flight,01503061-n,08220620-n,False,-1,False,False,False,0.022,0.0005
bird roosting,roost,01503061-n,04107984-n,False,-1,False,False,False,0.0208,0.0523
pair of birds,bird family,01503061-n,01504437-n,False,-1,False,False,False,0.0209,0.0102
bird is flying above,flight,01503061-n,08220620-n,False,2,False,True,True,0.0379,0.0006
two young birds,young bird,01503061-n,01613615-n,False,-1,False,False,False,0.0632,0.0238
several birds,bird of paradise,01503061-n,01571126-n,False,-1,False,False,False,0.0213,0.0005
multiple birds,bird family,01503061-n,01504437-n,False,-1,False,False,False,0.02,0.0006
little birds,dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.0201,0.0361
flying bird,flight,01503061-n,08220620-n,False,-1,False,False,False,0.0207,0.0005
bird is on,game bird,01503061-n,02153203-n,False,2,False,True,True,0.0201,0.0005
part of bird,bird of passage,01503061-n,01515303-n,False,3,False,True,True,0.0218,0.0134
bird sitting,bird,01503061-n,01503061-n,True,1,True,True,True,0.0212,0.0118
animated bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0207,0.0005
no birds,nonpasserine bird,01503061-n,01524761-n,False,-1,False,False,False,0.0203,0.0149
rear bird,rear,01503061-n,08629508-n,False,-1,False,False,False,0.0215,0.0483
birds riding,bird of passage,01503061-n,01515303-n,False,4,False,False,True,0.0205,0.0006
there is a bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0206,0.0008
bird is hanging,gallows bird,01503061-n,10118208-n,False,2,False,True,True,0.0211,0.0006
black birds.,blackbird,01503061-n,01558594-n,False,-1,False,False,False,0.019,0.0128
red bird,redstart,01503061-n,01561452-n,False,-1,False,False,False,0.0215,0.0263
bird is flying,flight,01503061-n,08220620-n,False,2,False,True,True,0.022,0.0006
3 birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.021,0.0004
bird has,game bird,01503061-n,02153203-n,False,3,False,True,True,0.0206,0.0006
birds head,head,01503061-n,01318381-n,False,3,False,True,True,0.0208,0.0006
bird is yellow,yellowthroat,01503061-n,01570676-n,False,-1,False,False,False,0.021,0.0655
tiny bird,hummingbird,01503061-n,01833805-n,False,-1,False,False,False,0.0209,0.0008
