query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
tench,tench,01440764-n,01440764-n,True,2.4459,0.0577
Tinca tinca,tintack,01440764-n,04440399-n,False,2.4022,0.0581
goldfish,goldfish,01443537-n,01443537-n,True,2.4283,0.0749
Carassius auratus,silverfish,01443537-n,01443736-n,False,2.4081,0.0436
great white shark,great white shark,01484850-n,01484850-n,True,2.4053,0.0653
white shark,shark,01484850-n,10586674-n,False,2.3986,0.0113
man-eater,eater,01484850-n,07708260-n,False,2.3969,0.0549
man-eating shark,shark,01484850-n,10586674-n,False,2.3844,0.0403
Carcharodon carcharias,Carcharodon,01484850-n,01484717-n,False,2.3948,0.0581
tiger shark,tiger shark,01491361-n,01491361-n,True,2.4387,0.0349
Galeocerdo cuvieri,Galeocerdo,01491361-n,01491235-n,False,2.42,0.0421
hammerhead,hammerhead,01494475-n,03482128-n,False,2.3947,0.0646
hammerhead shark,hammerhead,01494475-n,01494475-n,True,2.4116,0.0107
electric ray,electric ray,01496331-n,01496331-n,True,2.5957,0.0656
crampfish,crayfish,01496331-n,07788885-n,False,2.5453,0.058
numbfish,triggerfish,01496331-n,02653145-n,False,2.5795,0.0565
torpedo,torpedo,01496331-n,04457157-n,False,2.3898,0.0664
stingray,stingray,01498041-n,01498041-n,True,2.4052,0.0561
cock,cock,01514668-n,05526713-n,False,2.4477,0.0503
hen,hen,01514859-n,01792640-n,False,2.5859,0.0501
ostrich,ostrich,01518878-n,01518878-n,True,2.3976,0.0692
Struthio camelus,struthiomimus,01518878-n,01716298-n,False,2.4609,0.0574
brambling,brambling,01530575-n,01530575-n,True,2.5509,0.0567
Fringilla montifringilla,cascarilla,01530575-n,12923108-n,False,2.405,0.0564
goldfinch,goldfinch,01531178-n,01531178-n,True,2.4147,0.0588
Carduelis carduelis,cardia,01531178-n,05396229-n,False,2.3781,0.0619
house finch,house finch,01532829-n,01532829-n,True,2.4052,0.0555
linnet,linnet,01532829-n,01531344-n,False,2.413,0.0566
Carpodacus mexicanus,carpophagous,01532829-n,00314466-s,False,2.4167,0.0396
junco,junco,01534433-n,01534433-n,True,2.4089,0.0547
snowbird,catbird,01534433-n,01587526-n,False,2.4163,0.057
indigo bunting,indigo bunting,01537544-n,01537544-n,True,2.4089,0.0762
indigo finch,purple finch,01537544-n,01533000-n,False,2.4061,0.0004
indigo bird,bird of paradise,01537544-n,01571126-n,False,2.4271,0.0562
Passerina cyanea,Passerina,01537544-n,01537360-n,False,2.3883,0.0785
robin,robin,01558993-n,01562265-n,False,2.4327,0.0586
American robin,robin,01558993-n,01558993-n,True,2.5237,0.0315
Turdus migratorius,turreae,01558993-n,12700996-n,False,2.3951,0.0725
bulbul,bulbul,01560419-n,01560419-n,True,2.4144,0.0707
jay,jay,01580077-n,01580077-n,True,2.3943,0.0763
magpie,magpie,01582220-n,10281276-n,False,2.4076,0.0807
chickadee,chickadee,01592084-n,01592084-n,True,2.4169,0.0598
water ouzel,European water ouzel,01601694-n,01602080-n,False,2.4083,0.0563
dipper,dipper,01601694-n,03204306-n,False,2.419,0.0525
kite,kite,01608432-n,03621473-n,False,2.4249,0.0567
bald eagle,bald eagle,01614925-n,01614925-n,True,2.4039,0.0536
American eagle,eagle,01614925-n,01613294-n,False,2.4024,0.0112
Haliaeetus leucocephalus,leucocytozoan,01614925-n,01425223-n,False,2.3988,0.055
vulture,vulture,01616318-n,01616318-n,True,2.3951,0.0639
great grey owl,great grey owl,01622779-n,01622779-n,True,2.4064,0.0581
great gray owl,great grey owl,01622779-n,01622779-n,True,2.4017,0.01
Strix nebulosa,Stapelias asterias,01622779-n,13238654-n,False,2.3876,0.0565
European fire salamander,European fire salamander,01629819-n,01629819-n,True,2.3971,0.0596
Salamandra salamandra,salamander,01629819-n,01629276-n,False,2.3971,0.0347
common newt,common newt,01630670-n,01630670-n,True,2.4033,0.0588
Triturus vulgaris,Trilisa,01630670-n,12027864-n,False,2.3906,0.0536
eft,eft,01631663-n,01631663-n,True,2.3802,0.0538
