query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
tench,tench,01440764-n,N/A,False,2.68,0.2
Tinca tinca,tintack,01440764-n,N/A,False,2.61,0.2
goldfish,goldfish,01443537-n,N/A,False,2.4,0.19
Carassius auratus,silverfish,01443537-n,N/A,False,2.42,0.17
great white shark,great white shark,01484850-n,N/A,False,2.4,0.2
white shark,shark,01484850-n,N/A,False,2.4,0.19
man-eater,eater,01484850-n,N/A,False,2.41,0.15
man-eating shark,shark,01484850-n,N/A,False,2.56,0.14
Carcharodon carcharias,Carcharodon,01484850-n,N/A,False,2.41,0.2
tiger shark,tiger shark,01491361-n,N/A,False,2.42,0.16
Galeocerdo cuvieri,Galeocerdo,01491361-n,N/A,False,2.54,0.15
hammerhead,hammerhead,01494475-n,N/A,False,2.49,0.2
hammerhead shark,hammerhead,01494475-n,N/A,False,2.44,0.2
electric ray,electric ray,01496331-n,N/A,False,2.41,0.2
crampfish,crayfish,01496331-n,N/A,False,2.42,0.2
numbfish,triggerfish,01496331-n,N/A,False,2.41,0.18
torpedo,torpedo,01496331-n,N/A,False,2.42,0.15
stingray,stingray,01498041-n,N/A,False,2.57,0.17
cock,cock,01514668-n,N/A,False,2.39,0.15
hen,hen,01514859-n,N/A,False,2.4,0.12
ostrich,ostrich,01518878-n,N/A,False,2.4,0.23
Struthio camelus,struthiomimus,01518878-n,N/A,False,2.52,0.18
brambling,brambling,01530575-n,N/A,False,2.42,0.16
Fringilla montifringilla,cascarilla,01530575-n,N/A,False,2.59,0.18
goldfinch,goldfinch,01531178-n,N/A,False,2.58,0.21
Carduelis carduelis,cardia,01531178-n,N/A,False,2.43,0.21
house finch,house finch,01532829-n,N/A,False,2.43,0.19
linnet,linnet,01532829-n,N/A,False,2.42,0.14
Carpodacus mexicanus,carpophagous,01532829-n,N/A,False,2.42,0.17
junco,junco,01534433-n,N/A,False,2.49,0.16
snowbird,catbird,01534433-n,N/A,False,2.41,0.18
indigo bunting,indigo bunting,01537544-n,N/A,False,2.39,0.17
indigo finch,purple finch,01537544-n,N/A,False,2.61,0.18
indigo bird,bird of paradise,01537544-n,N/A,False,2.6,0.15
Passerina cyanea,Passerina,01537544-n,N/A,False,2.4,0.15
robin,robin,01558993-n,N/A,False,2.39,0.16
American robin,robin,01558993-n,N/A,False,2.47,0.17
Turdus migratorius,turreae,01558993-n,N/A,False,2.57,0.17
bulbul,bulbul,01560419-n,N/A,False,2.4,0.14
jay,jay,01580077-n,N/A,False,2.43,0.15
magpie,magpie,01582220-n,N/A,False,2.59,0.15
chickadee,chickadee,01592084-n,N/A,False,2.4,0.16
water ouzel,European water ouzel,01601694-n,N/A,False,2.44,0.17
dipper,dipper,01601694-n,N/A,False,2.42,0.12
kite,kite,01608432-n,N/A,False,2.39,0.15
bald eagle,bald eagle,01614925-n,N/A,False,2.5,0.15
American eagle,eagle,01614925-n,N/A,False,2.5,0.13
Haliaeetus leucocephalus,leucocytozoan,01614925-n,N/A,False,2.5,0.18
vulture,vulture,01616318-n,N/A,False,2.42,0.2
great grey owl,great grey owl,01622779-n,N/A,False,2.39,0.16
great gray owl,great grey owl,01622779-n,N/A,False,2.4,0.15
Strix nebulosa,Stapelias asterias,01622779-n,N/A,False,2.38,0.19
European fire salamander,European fire salamander,01629819-n,N/A,False,2.4,0.16
Salamandra salamandra,salamander,01629819-n,N/A,False,2.41,0.16
common newt,common newt,01630670-n,N/A,False,2.41,0.17
Triturus vulgaris,Trilisa,01630670-n,N/A,False,2.47,0.18
eft,eft,01631663-n,N/A,False,2.44,0.18
spotted salamander,spotted salamander,01632458-n,N/A,False,2.41,0.15
Ambystoma maculatum,macula,01632458-n,N/A,False,2.42,0.19
axolotl,axolotl,01632777-n,N/A,False,2.39,0.15
mud puppy,mud puppy,01632777-n,N/A,False,2.4,0.14
Ambystoma mexicanum,amboyna,01632777-n,N/A,False,2.4,0.18
bullfrog,bullfrog,01641577-n,N/A,False,2.43,0.14
Rana catesbeiana,true toad,01641577-n,N/A,False,2.39,0.18
tree frog,tree frog,01644373-n,N/A,False,2.39,0.16
tree-frog,tree frog,01644373-n,N/A,False,2.47,0.16
tailed frog,tailed frog,01644900-n,N/A,False,2.39,0.18
bell toad,fire-bellied toad,01644900-n,N/A,False,2.4,0.17
ribbed toad,Surinam toad,01644900-n,N/A,False,2.4,0.14
tailed toad,true toad,01644900-n,N/A,False,2.57,0.17
Ascaphus trui,tragus,01644900-n,N/A,False,2.62,0.18
loggerhead,loggerhead,01664065-n,N/A,False,2.6,0.16
loggerhead turtle,loggerhead,01664065-n,N/A,False,2.44,0.15
Caretta caretta,Caretta,01664065-n,N/A,False,2.44,0.13
leatherback turtle,leatherback turtle,01665541-n,N/A,False,2.42,0.18
leatherback,leather,01665541-n,N/A,False,2.39,0.13
leathery turtle,leatherback turtle,01665541-n,N/A,False,2.39,0.18
Dermochelys coriacea,Cortinarius atkinsonianus,01665541-n,N/A,False,2.4,0.19
mud turtle,mud turtle,01667114-n,N/A,False,2.6,0.17
terrapin,terrapin,01667778-n,N/A,False,2.39,0.18
box turtle,box turtle,01669191-n,N/A,False,2.46,0.15
box tortoise,desert tortoise,01669191-n,N/A,False,2.54,0.2
banded gecko,banded gecko,01675722-n,N/A,False,2.43,0.18
common iguana,common iguana,01677366-n,N/A,False,2.41,0.18
iguana,iguanid,01677366-n,N/A,False,2.43,0.18
Iguana iguana,iguanid,01677366-n,N/A,False,2.6,0.2
American chameleon,American chameleon,01682714-n,N/A,False,2.61,0.18
anole,atole,01682714-n,N/A,False,2.42,0.14
Anolis carolinensis,Anolis,01682714-n,N/A,False,2.59,0.17
whiptail,whiptail,01685808-n,N/A,False,2.56,0.14
whiptail lizard,whiptail,01685808-n,N/A,False,2.39,0.16
agama,agama,01687978-n,N/A,False,2.53,0.17
frilled lizard,frilled lizard,01688243-n,N/A,False,2.59,0.17
Chlamydosaurus kingi,chlamydospore,01688243-n,N/A,False,2.39,0.17
alligator lizard,alligator lizard,01689811-n,N/A,False,2.41,0.18
Gila monster,Gila monster,01692333-n,N/A,False,2.39,0.16
Heloderma suspectum,Heloderma,01692333-n,N/A,False,2.4,0.18
green lizard,green lizard,01693334-n,N/A,False,2.41,0.21
Lacerta viridis,Lacerta,01693334-n,N/A,False,2.41,0.17
African chameleon,African chameleon,01694178-n,N/A,False,2.61,0.18
Chamaeleo chamaeleon,chaja,01694178-n,N/A,False,2.41,0.16
Komodo dragon,Komodo dragon,01695060-n,N/A,False,2.4,0.16
Komodo lizard,Komodo dragon,01695060-n,N/A,False,2.39,0.17
dragon lizard,dragon,01695060-n,N/A,False,2.6,0.17
giant lizard,Komodo dragon,01695060-n,N/A,False,2.41,0.19
Varanus komodoensis,Cynocephalus variegatus,01695060-n,N/A,False,2.42,0.21
African crocodile,African crocodile,01697457-n,N/A,False,2.4,0.18
Nile crocodile,African crocodile,01697457-n,N/A,False,2.59,0.18
Crocodylus niloticus,Crocodylus,01697457-n,N/A,False,2.4,0.19
American alligator,American alligator,01698640-n,N/A,False,2.39,0.16
Alligator mississipiensis,alligator,01698640-n,N/A,False,2.4,0.15
triceratops,triceratops,01704323-n,N/A,False,2.39,0.16
thunder snake,thunder snake,01728572-n,N/A,False,2.62,0.14
worm snake,worm,01728572-n,N/A,False,2.59,0.13
Carphophis amoenus,Carphophis,01728572-n,N/A,False,2.42,0.14
ringneck snake,ringneck snake,01728920-n,N/A,False,2.4,0.16
ring-necked snake,ringneck snake,01728920-n,N/A,False,2.39,0.14
ring snake,ringneck snake,01728920-n,N/A,False,2.4,0.15
hognose snake,hognose snake,01729322-n,N/A,False,2.38,0.16
puff adder,puff adder,01729322-n,N/A,False,2.49,0.16
sand viper,viper,01729322-n,N/A,False,2.39,0.16
green snake,green snake,01729977-n,N/A,False,2.59,0.16
grass snake,grass snake,01729977-n,N/A,False,2.4,0.12
king snake,king snake,01734418-n,N/A,False,2.39,0.15
kingsnake,king,01734418-n,N/A,False,2.38,0.14
garter snake,garter snake,01735189-n,N/A,False,2.59,0.18
