query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
tench,tench,01440764-n,01440764-n,True,1,True,True,True,1.8361,0.0
Tinca tinca,tench,01440764-n,01440764-n,True,1,True,True,True,0.0001,0.0
goldfish,goldfish,01443537-n,01443537-n,True,1,True,True,True,0.0001,0.0
Carassius auratus,goldfish,01443537-n,01443537-n,True,1,True,True,True,0.0001,0.0
great white shark,great white shark,01484850-n,01484850-n,True,1,True,True,True,0.0002,0.0
white shark,great white shark,01484850-n,01484850-n,True,1,True,True,True,0.0001,0.0
man-eater,great white shark,01484850-n,01484850-n,True,1,True,True,True,0.0001,0.0
man-eating shark,great white shark,01484850-n,01484850-n,True,1,True,True,True,0.0001,0.0
Carcharodon carcharias,great white shark,01484850-n,01484850-n,True,1,True,True,True,0.0001,0.0
tiger shark,tiger shark,01491361-n,01491361-n,True,1,True,True,True,0.0001,0.0
Galeocerdo cuvieri,tiger shark,01491361-n,01491361-n,True,1,True,True,True,0.0001,0.0
hammerhead,hammerhead,01494475-n,01494475-n,True,1,True,True,True,0.0002,0.0001
hammerhead shark,hammerhead,01494475-n,01494475-n,True,1,True,True,True,0.0001,0.0
electric ray,electric ray,01496331-n,01496331-n,True,1,True,True,True,0.0001,0.0001
crampfish,electric ray,01496331-n,01496331-n,True,1,True,True,True,0.0001,0.0
numbfish,electric ray,01496331-n,01496331-n,True,1,True,True,True,0.0001,0.0
torpedo,torpedo,01496331-n,04456734-n,False,-1,False,False,False,0.0155,0.0
stingray,stingray,01498041-n,01498041-n,True,1,True,True,True,0.0001,0.0
cock,cock,01514668-n,01514668-n,True,1,True,True,True,0.0004,0.0
hen,hen,01514859-n,01792640-n,False,-1,False,False,False,0.0003,0.0
ostrich,ostrich,01518878-n,01518878-n,True,1,True,True,True,0.0001,0.0001
Struthio camelus,ostrich,01518878-n,01518878-n,True,1,True,True,True,0.0001,0.0
brambling,brambling,01530575-n,01530575-n,True,1,True,True,True,0.0001,0.0
Fringilla montifringilla,brambling,01530575-n,01530575-n,True,1,True,True,True,0.0001,0.0
goldfinch,goldfinch,01531178-n,01531178-n,True,1,True,True,True,0.0002,0.0001
Carduelis carduelis,goldfinch,01531178-n,01531178-n,True,1,True,True,True,0.0001,0.0
house finch,house finch,01532829-n,01532829-n,True,1,True,True,True,0.0001,0.0
linnet,linnet,01532829-n,01531344-n,False,-1,False,False,False,0.0001,0.0
Carpodacus mexicanus,house finch,01532829-n,01532829-n,True,1,True,True,True,0.0001,0.0
junco,junco,01534433-n,01534433-n,True,1,True,True,True,0.0001,0.0
snowbird,snow bunting,01534433-n,01538630-n,False,-1,False,False,False,0.0002,0.0001
indigo bunting,indigo bunting,01537544-n,01537544-n,True,1,True,True,True,0.0002,0.0001
indigo finch,indigo bunting,01537544-n,01537544-n,True,1,True,True,True,0.0001,0.0
indigo bird,indigo bunting,01537544-n,01537544-n,True,1,True,True,True,0.0001,0.0
Passerina cyanea,indigo bunting,01537544-n,01537544-n,True,1,True,True,True,0.0001,0.0
robin,robin,01558993-n,01562265-n,False,-1,False,False,False,0.0002,0.0001
American robin,robin,01558993-n,01562265-n,False,-1,False,False,False,0.0001,0.0
Turdus migratorius,robin,01558993-n,01562265-n,False,-1,False,False,False,0.0001,0.0
bulbul,bulbul,01560419-n,01560419-n,True,1,True,True,True,0.0001,0.0
jay,jay,01580077-n,11081111-n,False,-1,False,False,False,0.0002,0.0001
magpie,magpie,01582220-n,01582220-n,True,1,True,True,True,0.0002,0.0001
chickadee,chickadee,01592084-n,01592084-n,True,1,True,True,True,0.0001,0.0
water ouzel,water ouzel,01601694-n,01601694-n,True,1,True,True,True,0.0001,0.0001
dipper,dipper,01601694-n,03204306-n,False,-1,False,False,False,0.0003,0.0
kite,kite,01608432-n,13382306-n,False,-1,False,False,False,0.0003,0.0
bald eagle,bald eagle,01614925-n,01614925-n,True,1,True,True,True,0.0001,0.0001
