query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
tench,tench,01440764-n,01440764-n,True,1,True,True,True,0.0566,0.0002
Tinca tinca,tintack,01440764-n,04440399-n,False,-1,False,False,False,0.0229,0.0002
goldfish,goldfish,01443537-n,01443537-n,True,1,True,True,True,0.0216,0.0002
Carassius auratus,silverfish,01443537-n,01443736-n,False,-1,False,False,False,0.0229,0.0002
great white shark,great white shark,01484850-n,01484850-n,True,1,True,True,True,0.0199,0.0001
white shark,great white shark,01484850-n,01484850-n,True,1,True,True,True,0.0208,0.0001
man-eater,eater,01484850-n,10042300-n,False,-1,False,False,False,0.0203,0.0001
man-eating shark,shark,01484850-n,10586674-n,False,-1,False,False,False,0.0213,0.0002
Carcharodon carcharias,Carcharodon,01484850-n,01484717-n,False,-1,False,False,False,0.0201,0.0001
tiger shark,tiger shark,01491361-n,01491361-n,True,1,True,True,True,0.0202,0.0001
Galeocerdo cuvieri,Galeocerdo,01491361-n,01491235-n,False,-1,False,False,False,0.02,0.0001
hammerhead,hammerhead,01494475-n,03482128-n,False,2,False,True,True,0.0279,0.0002
hammerhead shark,hammerhead,01494475-n,01494475-n,True,1,True,True,True,0.023,0.0002
electric ray,electric ray,01496331-n,01496331-n,True,1,True,True,True,0.0245,0.0002
crampfish,crayfish,01496331-n,07788885-n,False,-1,False,False,False,0.0225,0.0002
numbfish,dealfish,01496331-n,02546627-n,False,-1,False,False,False,0.0216,0.0001
torpedo,torpedo,01496331-n,04457157-n,False,-1,False,False,False,0.0205,0.0001
stingray,stingray,01498041-n,01498041-n,True,1,True,True,True,0.0214,0.0002
cock,cock,01514668-n,05526713-n,False,3,False,True,True,0.0219,0.0001
hen,hen,01514859-n,01792640-n,False,3,False,True,True,0.021,0.0001
ostrich,ostrich,01518878-n,01518878-n,True,1,True,True,True,0.0217,0.0002
Struthio camelus,struthiomimus,01518878-n,01716298-n,False,-1,False,False,False,0.0211,0.0002
brambling,brambling,01530575-n,01530575-n,True,1,True,True,True,0.0214,0.0001
Fringilla montifringilla,Montrachet,01530575-n,07894703-n,False,-1,False,False,False,0.0225,0.0002
goldfinch,goldfinch,01531178-n,01531178-n,True,1,True,True,True,0.021,0.0001
Carduelis carduelis,cardia,01531178-n,05396229-n,False,-1,False,False,False,0.0216,0.0001
house finch,house finch,01532829-n,01532829-n,True,1,True,True,True,0.023,0.0002
linnet,linnet,01532829-n,01531344-n,False,-1,False,False,False,0.0234,0.0001
Carpodacus mexicanus,carpophagous,01532829-n,00314466-s,False,-1,False,False,False,0.0203,0.0002
junco,junco,01534433-n,01534433-n,True,1,True,True,True,0.0209,0.0002
snowbird,catbird,01534433-n,01587526-n,False,-1,False,False,False,0.0234,0.0003
indigo bunting,indigo bunting,01537544-n,01537544-n,True,1,True,True,True,0.0261,0.0003
indigo finch,purple finch,01537544-n,01533000-n,False,-1,False,False,False,0.087,0.0001
indigo bird,bastard indigo,01537544-n,12572759-n,False,-1,False,False,False,0.0391,0.0001
Passerina cyanea,Passerina,01537544-n,01537360-n,False,-1,False,False,False,0.0464,0.0001
robin,robin,01558993-n,01562265-n,False,2,False,True,True,0.0365,0.0001
American robin,robin,01558993-n,01562265-n,False,2,False,True,True,0.0197,0.0001
Turdus migratorius,turpentine,01558993-n,14897369-n,False,-1,False,False,False,0.0213,0.0002
bulbul,bulbul,01560419-n,01560419-n,True,1,True,True,True,0.0218,0.0002
jay,jay,01580077-n,01580077-n,True,1,True,True,True,0.0218,0.0002
magpie,magpie,01582220-n,10281276-n,False,2,False,True,True,0.0289,0.0001
chickadee,chickadee,01592084-n,01592084-n,True,1,True,True,True,0.0494,0.0001
water ouzel,European water ouzel,01601694-n,01602080-n,False,3,False,True,True,0.0226,0.0002
dipper,dipper,01601694-n,03204306-n,False,-1,False,False,False,0.034,0.0001
kite,kite,01608432-n,03621473-n,False,2,False,True,True,0.0422,0.0001
bald eagle,bald eagle,01614925-n,01614925-n,True,1,True,True,True,0.0229,0.0002
American eagle,eagle,01614925-n,01613294-n,False,-1,False,False,False,0.0227,0.0002
Haliaeetus leucocephalus,leucocytozoan,01614925-n,01425223-n,False,-1,False,False,False,0.0216,0.0001
vulture,vulture,01616318-n,01616318-n,True,1,True,True,True,0.0224,0.0001
great grey owl,great grey owl,01622779-n,01622779-n,True,1,True,True,True,0.0244,0.0002
great gray owl,great grey owl,01622779-n,01622779-n,True,1,True,True,True,0.0261,0.0002
Strix nebulosa,neritina,01622779-n,01947139-n,False,-1,False,False,False,0.0428,0.0002
European fire salamander,European fire salamander,01629819-n,01629819-n,True,1,True,True,True,0.0231,0.0002
Salamandra salamandra,salamander,01629819-n,01629276-n,False,-1,False,False,False,0.0213,0.0001
common newt,common newt,01630670-n,01630670-n,True,1,True,True,True,0.0211,0.0001
Triturus vulgaris,Trilisa,01630670-n,12027864-n,False,-1,False,False,False,0.0197,0.0002
eft,eft,01631663-n,01631663-n,True,1,True,True,True,0.0209,0.0001
spotted salamander,spotted salamander,01632458-n,01632458-n,True,1,True,True,True,0.0211,0.0001
Ambystoma maculatum,macula,01632458-n,05455690-n,False,-1,False,False,False,0.0215,0.0003
axolotl,axolotl,01632777-n,01632777-n,True,1,True,True,True,0.0436,0.0001
mud puppy,mud puppy,01632777-n,01634522-n,False,-1,False,False,False,0.0303,0.0002
Ambystoma mexicanum,amboyna,01632777-n,12565590-n,False,-1,False,False,False,0.0285,0.0002
bullfrog,bullfrog,01641577-n,01641577-n,True,1,True,True,True,0.0212,0.0002
Rana catesbeiana,true toad,01641577-n,01645776-n,False,-1,False,False,False,0.0241,0.0001
tree frog,tree frog,01644373-n,01644373-n,True,1,True,True,True,0.0194,0.0001
tree-frog,tree frog,01644373-n,01644373-n,True,1,True,True,True,0.0205,0.0001
tailed frog,tailed frog,01644900-n,01644900-n,True,1,True,True,True,0.0197,0.0002
bell toad,fire-bellied toad,01644900-n,01648620-n,False,-1,False,False,False,0.0203,0.0002
ribbed toad,true toad,01644900-n,01645776-n,False,-1,False,False,False,0.0201,0.0001
tailed toad,true toad,01644900-n,01645776-n,False,2,False,True,True,0.0208,0.0001
Ascaphus trui,tragus,01644900-n,05324134-n,False,-1,False,False,False,0.0201,0.0001
loggerhead,loggerhead,01664065-n,01664065-n,True,1,True,True,True,0.0203,0.0001
loggerhead turtle,loggerhead,01664065-n,01664065-n,True,1,True,True,True,0.0201,0.0002
Caretta caretta,Caretta,01664065-n,01663939-n,False,-1,False,False,False,0.0197,0.0001
leatherback turtle,leatherback turtle,01665541-n,01665541-n,True,1,True,True,True,0.021,0.0001
leatherback,leatherette,01665541-n,03653110-n,False,3,False,True,True,0.0208,0.0002
leathery turtle,leatherback turtle,01665541-n,01665541-n,True,1,True,True,True,0.0223,0.0001
Dermochelys coriacea,Cortinarius atkinsonianus,01665541-n,13074814-n,False,-1,False,False,False,0.0199,0.0001
mud turtle,mud turtle,01667114-n,01667114-n,True,1,True,True,True,0.0215,0.0001
