query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
bird on left,bird,01503061-n,01503061-n,True,2.47,0.04
bird's tail tip,bird's foot,01503061-n,02154416-n,False,2.48,0.04
number of birds,finch,01503061-n,01529672-n,False,2.44,0.04
little black bird,pigeon hawk,01503061-n,01612275-n,False,2.45,0.05
four birds,dove,01503061-n,01812337-n,False,2.45,0.04
bird is perched,bird feeder,01503061-n,02843553-n,False,2.61,1.97
small white bird,white-throated sparrow,01503061-n,01535469-n,False,3.17,0.05
bird's,bird's foot,01503061-n,02154416-n,False,2.38,0.04
birds eating,bird feed,01503061-n,07805594-n,False,2.45,0.04
tail of the bird,bird's foot,01503061-n,02154416-n,False,2.93,0.04
swans are large bird,swan,01503061-n,01858441-n,False,2.47,0.04
many birds,rare bird,01503061-n,10507692-n,False,2.45,0.04
black bird,New World blackbird,01503061-n,01574045-n,False,2.45,0.04
bird dropping,pigeon droppings,01503061-n,14854764-n,False,2.45,0.04
dark birds.,night bird,01503061-n,01515078-n,False,2.48,0.04
"small bird,",sparrow hawk,01503061-n,01612122-n,False,2.52,0.04
wing of the bird,bird,01503061-n,01503061-n,True,2.45,0.04
five birds,birdcall,01503061-n,02843465-n,False,2.5,0.04
bunch of birds,dove,01503061-n,01812337-n,False,2.48,0.04
foot of bird,bird's foot,01503061-n,02154416-n,False,2.49,0.05
small bird,sparrow hawk,01503061-n,01612122-n,False,2.44,0.04
birds beak,beak,01503061-n,01758308-n,False,2.46,0.04
six birds,six,01503061-n,13744722-n,False,2.48,0.04
horse and bird,bird,01503061-n,07644382-n,False,2.44,0.04
black birds,New World blackbird,01503061-n,01574045-n,False,2.45,0.04
middle bird,early bird,01503061-n,10041684-n,False,2.46,0.04
some birds,bird,01503061-n,01503061-n,True,2.45,0.04
lone bird,rare bird,01503061-n,10507692-n,False,2.44,0.04
flying birds.,fly,01503061-n,02190166-n,False,2.45,0.04
bird,bird,01503061-n,07644382-n,False,2.44,0.05
caged bird,birdcage,01503061-n,02843276-n,False,2.45,0.04
little white birds,white-throated sparrow,01503061-n,01535469-n,False,2.45,0.04
birds,bird,01503061-n,07644382-n,False,2.45,0.04
"bird,",bird,01503061-n,07644382-n,False,2.5,0.04
bird is lone,rare bird,01503061-n,10507692-n,False,2.44,0.04
large predatory bird,bird of prey,01503061-n,01604330-n,False,2.43,0.04
bird flying,flight,01503061-n,02484771-v,False,2.45,0.04
group of birds,flock,01503061-n,07990956-n,False,2.45,0.04
white bird,white-crowned sparrow,01503061-n,01535690-n,False,2.43,0.79
bird is exotic,rare bird,01503061-n,10507692-n,False,3.0,0.04
this is a bird,bird,01503061-n,01503061-n,True,2.79,0.04
angry bird,gallows bird,01503061-n,10118208-n,False,2.39,0.04
blue bird,bluebird,01503061-n,01562014-n,False,2.6,0.04
beak of the bird,beak,01503061-n,01758308-n,False,2.46,0.04
family of birds,coastal diving bird,01503061-n,02040505-n,False,2.43,0.04
brown bird,rifleman bird,01503061-n,01588996-n,False,2.45,0.04
seven birds,seven,01503061-n,02186970-s,False,2.45,0.04
flock of birds.,flock,01503061-n,07990956-n,False,2.45,0.04
one bird,rare bird,01503061-n,10507692-n,False,2.44,0.04
colorful bird,parrot,01503061-n,01816887-n,False,2.45,0.05
bird 3,game bird,01503061-n,02153203-n,False,2.83,0.04
bird 2,game bird,01503061-n,02153203-n,False,2.46,0.04
bird in it,game bird,01503061-n,02153203-n,False,2.44,0.04
small birds perched,bird feeder,01503061-n,02843553-n,False,2.45,0.04
band like a bird,band,01503061-n,02785191-n,False,2.47,0.04
grey bird,African grey,01503061-n,01817953-n,False,2.45,0.04
bird is unusual,rare bird,01503061-n,10507692-n,False,2.45,0.04
large bird,elephant bird,01503061-n,01522450-n,False,2.45,0.04
front of bird,front,01503061-n,03398467-n,False,2.45,0.04
three birds,rare bird,01503061-n,10507692-n,False,2.45,0.04
head of bird,head,01503061-n,08664184-n,False,2.45,0.04
small bird flying,hummingbird,01503061-n,01833805-n,False,2.42,1.5
bird is white,white-crowned sparrow,01503061-n,01535690-n,False,2.4,0.04
birds face,birdcage mask,01503061-n,02843365-n,False,3.28,0.04
green birds,bird of paradise,01503061-n,01571126-n,False,2.61,0.04
variety of birds,rare bird,01503061-n,10507692-n,False,2.45,0.04
red angry bird,redshank,01503061-n,02028035-n,False,2.37,0.05
flying bird.,bird,01503061-n,01503061-n,True,2.44,0.04
big flying bird,kingbird,01503061-n,01548301-n,False,2.45,0.04
birds flying.,fly,01503061-n,02190166-n,False,2.42,0.04
bird roosting,roost,01503061-n,04107984-n,False,2.44,0.04
pair of birds,rare bird,01503061-n,10507692-n,False,2.44,0.04
bird is flying above,bird,01503061-n,01503061-n,True,2.45,0.04
two young birds,young bird,01503061-n,01613615-n,False,2.45,0.04
several birds,rare bird,01503061-n,10507692-n,False,2.43,0.04
multiple birds,rare bird,01503061-n,10507692-n,False,2.47,0.04
little birds,dickeybird,01503061-n,01503976-n,False,2.45,0.04
flying bird,flight,01503061-n,02484771-v,False,2.44,0.04
bird is on,game bird,01503061-n,02153203-n,False,2.44,0.04
part of bird,game bird,01503061-n,02153203-n,False,2.43,0.04
bird sitting,bird,01503061-n,01503061-n,True,2.44,0.04
animated bird,bird,01503061-n,01503061-n,True,2.44,0.04
no birds,game bird,01503061-n,02153203-n,False,2.43,0.04
rear bird,rear,01503061-n,08629508-n,False,2.68,0.04
birds riding,game bird,01503061-n,02153203-n,False,2.45,0.04
there is a bird,bird,01503061-n,01503061-n,True,2.43,0.04
bird is hanging,gallows bird,01503061-n,10118208-n,False,2.44,0.04
black birds.,crow,01503061-n,01579028-n,False,2.41,0.65
red bird,redshank,01503061-n,02028035-n,False,2.4,2.09
bird is flying,bird,01503061-n,01503061-n,True,3.01,0.05
3 birds,bird,01503061-n,01503061-n,True,2.47,0.04
bird has,game bird,01503061-n,02153203-n,False,2.46,0.04
birds head,head,01503061-n,01318381-n,False,2.43,0.04
bird is yellow,yellowthroat,01503061-n,01570676-n,False,2.43,0.04
tiny bird,little owl,01503061-n,01622120-n,False,2.44,0.04
two birds,bird,01503061-n,01503061-n,True,2.48,0.04
yellow bird,yellowthroat,01503061-n,01570676-n,False,2.45,0.05
bird is looking,bird watcher,01503061-n,09856500-n,False,2.45,0.04
hungry bird,bird feed,01503061-n,07805594-n,False,2.49,0.04
yellow bananas,banana,12352287-n,07753592-n,False,2.47,0.04
stem of banana,banana,12352287-n,12352287-n,True,2.45,0.04
mark on the banana,top banana,12352287-n,10715447-n,False,2.53,0.04
bananas bright yello,banana,12352287-n,07753592-n,False,2.43,0.04
bad banana,banana,12352287-n,12352287-n,True,2.44,0.04
red banana,banana,12352287-n,07753592-n,False,2.44,0.04
between bananas,banana,12352287-n,07753592-n,False,2.45,0.05
banana is crescent,banana,12352287-n,07753592-n,False,2.45,0.04
near bananas,banana,12352287-n,12352287-n,True,2.47,0.04
bananas stems,banana,12352287-n,12352287-n,True,2.48,0.04
holding bananas,banana boat,12352287-n,02784124-n,False,2.46,0.04
bowl of bananas,banana,12352287-n,12352287-n,True,2.46,0.04
banana being eaten,edible banana,12352287-n,12353203-n,False,2.5,0.05
unripe bananas,banana,12352287-n,12352287-n,True,2.45,0.05
stuffed bananas,banana boat,12352287-n,02784124-n,False,2.47,0.04
bag of bananas,banana,12352287-n,12352287-n,True,2.51,0.04
tip of banana,banana,12352287-n,07753592-n,False,2.58,0.04
yellow banana peels,banana peel,12352287-n,07738570-n,False,2.42,0.05
of the bananas,banana,12352287-n,12352287-n,True,2.42,1.92
shadow of banana,banana,12352287-n,12352287-n,True,2.41,1.59
half banana,banana,12352287-n,07753592-n,False,3.19,0.05
closest two bananas,banana,12352287-n,12352287-n,True,2.64,0.05
other bananas,banana,12352287-n,12352287-n,True,2.47,0.05
bunch of bananas,banana,12352287-n,12352287-n,True,2.46,0.05
bananas,banana,12352287-n,12352287-n,True,2.47,0.04
peeled banana,banana peel,12352287-n,07738570-n,False,2.43,0.05
some bananas,banana,12352287-n,12352287-n,True,2.45,0.04
brown banana tree,banana,12352287-n,12352287-n,True,2.44,0.05
unripe green bananas,banana,12352287-n,12352287-n,True,2.45,0.05
ripe red banana,banana,12352287-n,07753592-n,False,2.45,0.05
black tip of banana,banana,12352287-n,07753592-n,False,2.43,0.05
apples and banana,banana,12352287-n,12352287-n,True,2.44,0.04
banana is ripe,banana,12352287-n,07753592-n,False,2.46,0.04
banana stems,banana,12352287-n,12352287-n,True,2.44,0.04
banana is standing,banana,12352287-n,12352287-n,True,2.64,0.05
bananas are green,banana,12352287-n,12352287-n,True,2.45,0.04
banana is yellow,banana,12352287-n,07753592-n,False,2.44,0.05
bananas on top,top banana,12352287-n,10715447-n,False,2.43,0.04
banana is unpeeled,banana,12352287-n,12352287-n,True,2.45,0.05
banana,banana,12352287-n,07753592-n,False,2.44,0.04
bunches of bananas,banana,12352287-n,12352287-n,True,2.66,0.04
tip of the banana,banana,12352287-n,12352287-n,True,2.49,2.27
unripened banana,banana,12352287-n,07753592-n,False,2.41,0.04
green bananas,banana,12352287-n,12352287-n,True,2.46,0.04
banana trees,banana,12352287-n,12352287-n,True,2.45,0.05
few bananas,banana,12352287-n,12352287-n,True,2.43,0.04
behind bananas,top banana,12352287-n,10715447-n,False,2.46,0.04
inside of the banana,banana,12352287-n,12352287-n,True,2.46,0.04
edge of banana,banana,12352287-n,07753592-n,False,2.5,0.04
in front of a banana,top banana,12352287-n,10715447-n,False,2.44,0.04
banana leaves,banana,12352287-n,12352287-n,True,2.44,0.05
three bananas,banana,12352287-n,12352287-n,True,2.46,0.05
banana tree,banana,12352287-n,12352287-n,True,2.6,0.04
"""bananas",banana,12352287-n,12352287-n,True,2.48,0.04
bunch of banana,banana,12352287-n,12352287-n,True,2.54,0.05
end of banana,banana quit,12352287-n,01539272-n,False,2.46,0.04
banana peels,banana peel,12352287-n,07738570-n,False,2.5,0.05
group of bananas,banana,12352287-n,12352287-n,True,2.57,0.04
green unripe banana,banana,12352287-n,12352287-n,True,2.43,0.05
hang bananas,edible banana,12352287-n,12353203-n,False,2.43,0.04
paper under bananas,banana bread,12352287-n,07684938-n,False,2.63,0.04
bananas hanging,edible banana,12352287-n,12353203-n,False,2.44,0.04
bananas not ripe yet,banana,12352287-n,07753592-n,False,2.39,1.53
