query,closest_label,target_id,result_id,correct,time_sec
tench,tench,01440764-n,01440764-n,True,2.55
Tinca tinca,Tinca,01440764-n,01440655-n,False,2.27
goldfish,goldfish,01443537-n,01443537-n,True,2.28
Carassius auratus,Carassius,01443537-n,01443398-n,False,2.24
great white shark,great white shark,01484850-n,01484850-n,True,2.29
white shark,great white shark,01484850-n,01484850-n,True,2.42
man-eater,eater,01484850-n,10042300-n,False,2.89
man-eating shark,shark,01484850-n,10586674-n,False,2.96
Carcharodon carcharias,Carcharodon,01484850-n,01484717-n,False,2.89
tiger shark,tiger shark,01491361-n,01491361-n,True,2.36
Galeocerdo cuvieri,Galeocerdo,01491361-n,01491235-n,False,2.33
hammerhead,hammerhead,01494475-n,03482128-n,False,2.3
hammerhead shark,hammerhead,01494475-n,01494475-n,True,2.4
electric ray,ray,01496331-n,02768431-v,False,2.3
crampfish,crayfish,01496331-n,07788885-n,False,2.33
numbfish,dealfish,01496331-n,02546627-n,False,2.55
torpedo,torpedo,01496331-n,01137983-v,False,2.32
stingray,stingray,01498041-n,01498041-n,True,2.25
cock,cock,01514668-n,05526713-n,False,2.24
hen,hen,01514859-n,01792640-n,False,2.22
ostrich,ostrich,01518878-n,01518878-n,True,2.25
Struthio camelus,Struthio,01518878-n,01518718-n,False,2.27
brambling,brambling,01530575-n,01530575-n,True,2.28
Fringilla montifringilla,Fringilla,01530575-n,01530256-n,False,2.26
goldfinch,goldfinch,01531178-n,01531178-n,True,2.36
Carduelis carduelis,Carduelis,01531178-n,01530846-n,False,2.25
house finch,house finch,01532829-n,01532829-n,True,2.24
linnet,linnet,01532829-n,01531344-n,False,2.26
Carpodacus mexicanus,carpophagous,01532829-n,00314466-s,False,2.24
junco,junco,01534433-n,01534433-n,True,2.22
snowbird,catbird,01534433-n,01587526-n,False,2.23
indigo bunting,indigo bunting,01537544-n,01537544-n,True,2.23
indigo finch,purple finch,01537544-n,01533000-n,False,2.25
indigo bird,bastard indigo,01537544-n,12572759-n,False,2.23
Passerina cyanea,Passerina,01537544-n,01537360-n,False,2.27
robin,robin,01558993-n,01562265-n,False,2.26
American robin,robin,01558993-n,01562265-n,False,2.25
Turdus migratorius,Turdus,01558993-n,01557697-n,False,2.29
bulbul,bulbul,01560419-n,01560419-n,True,2.26
jay,jay,01580077-n,01580077-n,True,2.26
magpie,magpie,01582220-n,10281276-n,False,2.25
chickadee,chickadee,01592084-n,01592084-n,True,2.26
water ouzel,European water ouzel,01601694-n,01602080-n,False,2.26
dipper,dipper,01601694-n,03204306-n,False,2.25
kite,kite,01608432-n,01848190-v,False,2.25
bald eagle,bald eagle,01614925-n,01614925-n,True,2.23
American eagle,eagle,01614925-n,06881563-n,False,2.24
Haliaeetus leucocephalus,Haliaeetus,01614925-n,01614769-n,False,2.27
vulture,vulture,01616318-n,01616318-n,True,2.24
great grey owl,great grey owl,01622779-n,01622779-n,True,2.22
great gray owl,great grey owl,01622779-n,01622779-n,True,2.23
Strix nebulosa,Corixa,01622779-n,02243065-n,False,2.22
European fire salamander,European fire salamander,01629819-n,01629819-n,True,2.24
Salamandra salamandra,Salamandra,01629819-n,01629093-n,False,2.25
common newt,common newt,01630670-n,01630670-n,True,2.24
Triturus vulgaris,Trilisa,01630670-n,12027864-n,False,2.2
eft,eft,01631663-n,01631663-n,True,2.22
spotted salamander,spotted salamander,01632458-n,01632458-n,True,2.37
Ambystoma maculatum,Ambystoma,01632458-n,01631903-n,False,2.46
axolotl,axolotl,01632777-n,01632777-n,True,2.27
mud puppy,mud puppy,01632777-n,01634522-n,False,2.26
Ambystoma mexicanum,Ambystoma,01632777-n,01631903-n,False,2.32
bullfrog,bullfrog,01641577-n,01641577-n,True,2.22
Rana catesbeiana,Rana,01641577-n,01640567-n,False,2.22
tree frog,tree frog,01644373-n,01644373-n,True,2.22
tree-frog,tree frog,01644373-n,01644373-n,True,2.2
tailed frog,tailed frog,01644900-n,01644900-n,True,2.21
bell toad,fire-bellied toad,01644900-n,01648620-n,False,2.22
