query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
bird on left,bird,01503061-n,01503061-n,True,1,True,True,True,0.0381,0.0496
bird's tail tip,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0199,0.0505
number of birds,finch,01503061-n,01529672-n,False,-1,False,False,False,0.0199,0.0384
little black bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0208,0.042
four birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.02,0.0284
bird is perched,bird feeder,01503061-n,02843553-n,False,2,False,True,True,0.0214,0.0202
small white bird,white-throated sparrow,01503061-n,01535469-n,False,5,False,False,True,0.0203,0.0215
bird's,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0206,0.0182
birds eating,bird feed,01503061-n,07805594-n,False,-1,False,False,False,0.0198,0.0312
tail of the bird,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0205,0.0198
swans are large bird,swan,01503061-n,01858441-n,False,-1,False,False,False,0.0212,0.0495
many birds,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0204,0.0193
black bird,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0196,0.0193
bird dropping,pigeon droppings,01503061-n,14854764-n,False,-1,False,False,False,0.0207,0.0468
dark birds.,night bird,01503061-n,01515078-n,False,-1,False,False,False,0.0212,0.0293
"small bird,",sparrow hawk,01503061-n,01612122-n,False,-1,False,False,False,0.0228,0.0573
wing of the bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0433,0.0385
five birds,birdcall,01503061-n,02843465-n,False,-1,False,False,False,0.0208,0.0397
bunch of birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.0209,0.0394
foot of bird,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0224,0.0893
small bird,sparrow hawk,01503061-n,01612122-n,False,-1,False,False,False,0.0457,0.0004
birds beak,beak,01503061-n,01758308-n,False,-1,False,False,False,0.05,0.062
six birds,six,01503061-n,13744722-n,False,-1,False,False,False,0.0433,0.054
horse and bird,bird,01503061-n,07644382-n,False,3,False,True,True,0.0438,0.0115
black birds,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.046,0.0116
middle bird,early bird,01503061-n,10041684-n,False,-1,False,False,False,0.0434,0.0265
some birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.0438,0.0004
lone bird,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0223,0.0538
flying birds.,fly,01503061-n,02190166-n,False,-1,False,False,False,0.0421,0.0392
bird,bird,01503061-n,07644382-n,False,2,False,True,True,0.0423,0.0132
caged bird,birdcage,01503061-n,02843276-n,False,-1,False,False,False,0.0428,0.0431
little white birds,white-throated sparrow,01503061-n,01535469-n,False,-1,False,False,False,0.0452,0.0208
birds,bird,01503061-n,07644382-n,False,2,False,True,True,0.0351,0.0004
"bird,",bird,01503061-n,07644382-n,False,4,False,False,True,0.0229,0.0005
bird is lone,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0335,0.0008
large predatory bird,bird of prey,01503061-n,01604330-n,False,-1,False,False,False,0.0404,0.0199
bird flying,flight,01503061-n,02484771-v,False,-1,False,False,False,0.0202,0.0103
group of birds,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0201,0.0118
white bird,white-crowned sparrow,01503061-n,01535690-n,False,5,False,False,True,0.0198,0.0003
bird is exotic,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0214,0.0182
this is a bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0207,0.0003
angry bird,gallows bird,01503061-n,10118208-n,False,4,False,False,True,0.0205,0.0101
blue bird,bluebird,01503061-n,01562014-n,False,-1,False,False,False,0.0202,0.038
beak of the bird,beak,01503061-n,01758308-n,False,-1,False,False,False,0.0204,0.0005
family of birds,coastal diving bird,01503061-n,02040505-n,False,-1,False,False,False,0.0204,0.0388
brown bird,rifleman bird,01503061-n,01588996-n,False,-1,False,False,False,0.0215,0.0649
seven birds,seven,01503061-n,02186970-s,False,-1,False,False,False,0.0471,0.02
flock of birds.,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0372,0.0415
one bird,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0426,0.0207
colorful bird,parrot,01503061-n,01816887-n,False,2,False,True,True,0.034,0.0306
bird 3,game bird,01503061-n,02153203-n,False,-1,False,False,False,0.0206,0.0004
bird 2,game bird,01503061-n,02153203-n,False,3,False,True,True,0.0202,0.0005
bird in it,game bird,01503061-n,02153203-n,False,-1,False,False,False,0.0218,0.0004
small birds perched,bird feeder,01503061-n,02843553-n,False,-1,False,False,False,0.0207,0.0111
band like a bird,band,01503061-n,02785191-n,False,-1,False,False,False,0.0201,0.0418
grey bird,African grey,01503061-n,01817953-n,False,-1,False,False,False,0.0209,0.0503
bird is unusual,rare bird,01503061-n,10507692-n,False,3,False,True,True,0.0199,0.0003
large bird,elephant bird,01503061-n,01522450-n,False,-1,False,False,False,0.0205,0.0006
front of bird,front,01503061-n,03398467-n,False,-1,False,False,False,0.0213,0.0376
three birds,rare bird,01503061-n,10507692-n,False,2,False,True,True,0.0196,0.009
head of bird,head,01503061-n,08664184-n,False,-1,False,False,False,0.021,0.0174
small bird flying,hummingbird,01503061-n,01833805-n,False,-1,False,False,False,0.0214,0.0305
bird is white,white-crowned sparrow,01503061-n,01535690-n,False,-1,False,False,False,0.0213,0.0108
birds face,birdcage mask,01503061-n,02843365-n,False,-1,False,False,False,0.0203,0.0206
green birds,bird of paradise,01503061-n,01571126-n,False,-1,False,False,False,0.02,0.0103
variety of birds,rare bird,01503061-n,10507692-n,False,2,False,True,True,0.0212,0.0004
red angry bird,redshank,01503061-n,02028035-n,False,-1,False,False,False,0.0195,0.0398
flying bird.,bird,01503061-n,01503061-n,True,1,True,True,True,0.02,0.0107
big flying bird,kingbird,01503061-n,01548301-n,False,-1,False,False,False,0.0233,0.022
birds flying.,fly,01503061-n,02190166-n,False,-1,False,False,False,0.0205,0.0003
bird roosting,roost,01503061-n,04107984-n,False,-1,False,False,False,0.0198,0.0394
pair of birds,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.02,0.008
bird is flying above,bird,01503061-n,01503061-n,True,1,True,True,True,0.0207,0.0004
two young birds,young bird,01503061-n,01613615-n,False,-1,False,False,False,0.0203,0.0204
several birds,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0216,0.0004
multiple birds,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0207,0.0005
little birds,dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.0206,0.0308
flying bird,flight,01503061-n,02484771-v,False,-1,False,False,False,0.0198,0.0004
bird is on,game bird,01503061-n,02153203-n,False,2,False,True,True,0.0198,0.0006
part of bird,game bird,01503061-n,02153203-n,False,4,False,False,True,0.0196,0.0099
bird sitting,bird,01503061-n,01503061-n,True,1,True,True,True,0.0186,0.0087
animated bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0207,0.0005
no birds,game bird,01503061-n,02153203-n,False,-1,False,False,False,0.0198,0.0095
rear bird,rear,01503061-n,08629508-n,False,-1,False,False,False,0.0233,0.0379
birds riding,game bird,01503061-n,02153203-n,False,3,False,True,True,0.0192,0.0003
there is a bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0219,0.0005
bird is hanging,gallows bird,01503061-n,10118208-n,False,2,False,True,True,0.0197,0.0003
black birds.,crow,01503061-n,01579028-n,False,-1,False,False,False,0.0199,0.0089
red bird,redshank,01503061-n,02028035-n,False,-1,False,False,False,0.0199,0.0199
bird is flying,bird,01503061-n,01503061-n,True,1,True,True,True,0.0195,0.0003
3 birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.0196,0.0004
bird has,game bird,01503061-n,02153203-n,False,4,False,False,True,0.0202,0.0004
birds head,head,01503061-n,01318381-n,False,3,False,True,True,0.0193,0.0004
bird is yellow,yellowthroat,01503061-n,01570676-n,False,-1,False,False,False,0.0197,0.0519
tiny bird,little owl,01503061-n,01622120-n,False,-1,False,False,False,0.0191,0.0003
two birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.0197,0.0094
yellow bird,yellowthroat,01503061-n,01570676-n,False,-1,False,False,False,0.0195,0.0104
bird is looking,bird watcher,01503061-n,09856500-n,False,-1,False,False,False,0.0204,0.0106
hungry bird,bird feed,01503061-n,07805594-n,False,5,False,False,True,0.0198,0.0004
yellow bananas,banana,12352287-n,07753592-n,False,3,False,True,True,0.0204,0.0574
stem of banana,banana,12352287-n,12352287-n,True,1,True,True,True,0.0199,0.009
mark on the banana,top banana,12352287-n,10715447-n,False,3,False,True,True,0.0203,0.0287
bananas bright yello,banana,12352287-n,07753592-n,False,2,False,True,True,0.0197,0.0004
bad banana,banana,12352287-n,12352287-n,True,1,True,True,True,0.0209,0.0085
red banana,banana,12352287-n,07753592-n,False,2,False,True,True,0.0194,0.0096
between bananas,banana,12352287-n,07753592-n,False,2,False,True,True,0.0312,0.0222
