query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
bird on left,early bird,01503061-n,10041684-n,False,2.46,0.24
bird's tail tip,bird's foot,01503061-n,02154416-n,False,2.53,0.15
number of birds,finch,01503061-n,01529672-n,False,2.44,0.13
little black bird,pigeon hawk,01503061-n,01612275-n,False,2.43,0.15
four birds,dove,01503061-n,01812337-n,False,2.43,0.12
bird is perched,bird feeder,01503061-n,02843553-n,False,2.4,0.23
small white bird,pigeon hawk,01503061-n,01612275-n,False,2.37,0.27
bird's,bird's nest,01503061-n,09221571-n,False,2.39,0.13
birds eating,bird feed,01503061-n,07805594-n,False,2.4,0.19
tail of the bird,pigeon hawk,01503061-n,01612275-n,False,2.41,0.17
swans are large bird,swan,01503061-n,01858441-n,False,2.39,0.14
many birds,bird of paradise,01503061-n,01571126-n,False,2.39,0.13
black bird,New World blackbird,01503061-n,01574045-n,False,2.41,0.16
bird dropping,pigeon droppings,01503061-n,14854764-n,False,2.4,0.11
dark birds.,pigeon hawk,01503061-n,01612275-n,False,2.4,0.14
"small bird,",dickeybird,01503061-n,01503976-n,False,2.38,0.16
wing of the bird,bird,01503061-n,01503061-n,True,2.4,0.25
five birds,birdcall,01503061-n,02843465-n,False,2.38,0.11
bunch of birds,dove,01503061-n,01812337-n,False,2.4,0.11
foot of bird,bird's foot,01503061-n,02154416-n,False,2.39,0.15
small bird,dickeybird,01503061-n,01503976-n,False,2.41,0.15
birds beak,beak,01503061-n,12875594-n,False,2.4,0.12
six birds,six,01503061-n,13744722-n,False,2.4,0.11
horse and bird,bird,01503061-n,07644382-n,False,2.4,0.32
black birds,New World blackbird,01503061-n,01574045-n,False,2.4,0.15
middle bird,early bird,01503061-n,10041684-n,False,2.43,0.13
some birds,bird,01503061-n,01503061-n,True,2.38,0.3
lone bird,young bird,01503061-n,01613615-n,False,2.38,0.14
flying birds.,fly,01503061-n,02190166-n,False,2.4,0.13
bird,bird,01503061-n,07644382-n,False,2.39,0.31
caged bird,birdcage,01503061-n,02843276-n,False,2.39,0.13
little white birds,white-throated sparrow,01503061-n,01535469-n,False,2.37,0.16
birds,bird,01503061-n,07644382-n,False,2.4,0.3
"bird,",bird,01503061-n,07644382-n,False,2.38,0.32
bird is lone,rare bird,01503061-n,10507692-n,False,2.38,0.13
large predatory bird,bird of prey,01503061-n,01604330-n,False,2.39,0.15
bird flying,flight,01503061-n,02484771-v,False,2.39,0.11
group of birds,flock,01503061-n,07990956-n,False,2.4,0.13
white bird,white-throated sparrow,01503061-n,01535469-n,False,2.4,0.26
bird is exotic,rare bird,01503061-n,10507692-n,False,2.4,0.11
this is a bird,bird,01503061-n,01503061-n,True,2.38,0.31
angry bird,gallows bird,01503061-n,10118208-n,False,2.41,0.25
blue bird,bluebird,01503061-n,01562014-n,False,2.4,0.14
beak of the bird,beak,01503061-n,12875594-n,False,2.41,0.13
family of birds,coastal diving bird,01503061-n,02040505-n,False,2.4,0.18
brown bird,prairie chicken,01503061-n,01798484-n,False,2.51,0.15
seven birds,seven,01503061-n,02186970-s,False,2.39,0.12
flock of birds.,flock,01503061-n,07990956-n,False,2.41,0.11
one bird,rare bird,01503061-n,10507692-n,False,2.4,0.13
colorful bird,parrot,01503061-n,01816887-n,False,2.43,0.26
bird 3,game bird,01503061-n,02153203-n,False,2.41,0.19
bird 2,game bird,01503061-n,02153203-n,False,2.4,0.23
bird in it,game bird,01503061-n,02153203-n,False,2.38,0.13
small birds perched,bird feeder,01503061-n,02843553-n,False,2.41,0.13
band like a bird,band,01503061-n,02785191-n,False,2.38,0.13
grey bird,African grey,01503061-n,01817953-n,False,2.41,0.13
bird is unusual,rare bird,01503061-n,10507692-n,False,2.42,0.24
large bird,elephant bird,01503061-n,01522450-n,False,2.4,0.14
