query,closest_label,target_id,result_id,correct,time_sec
tench,tench,01440764-n,01440764-n,True,2.16
Tinca tinca,Tinca,01440764-n,01440655-n,False,2.17
goldfish,goldfish,01443537-n,01443537-n,True,2.16
Carassius auratus,Carassius,01443537-n,01443398-n,False,2.17
great white shark,great white shark,01484850-n,01484850-n,True,2.19
white shark,great white shark,01484850-n,01484850-n,True,2.16
man-eater,eater,01484850-n,10042300-n,False,2.15
man-eating shark,shark,01484850-n,02573031-v,False,2.35
Carcharodon carcharias,Carcharodon,01484850-n,01484717-n,False,2.17
tiger shark,tiger shark,01491361-n,01491361-n,True,2.2
Galeocerdo cuvieri,Galeocerdo,01491361-n,01491235-n,False,2.19
hammerhead,hammerhead,01494475-n,03482128-n,False,2.19
hammerhead shark,hammerhead,01494475-n,03482128-n,False,2.19
electric ray,ray,01496331-n,02768431-v,False,2.18
crampfish,crayfish,01496331-n,07788885-n,False,2.2
numbfish,dealfish,01496331-n,02546627-n,False,2.2
torpedo,torpedo,01496331-n,01137983-v,False,2.34
stingray,stingray,01498041-n,01498041-n,True,2.25
cock,cock,01514668-n,01884868-v,False,2.26
hen,hen,01514859-n,07646067-n,False,2.29
ostrich,ostrich,01518878-n,10385707-n,False,2.34
Struthio camelus,Struthio,01518878-n,01518718-n,False,2.35
brambling,brambling,01530575-n,01530575-n,True,2.17
Fringilla montifringilla,Fringilla,01530575-n,01530256-n,False,2.17
goldfinch,goldfinch,01531178-n,01531178-n,True,2.16
Carduelis carduelis,Carduelis,01531178-n,01530846-n,False,2.17
house finch,house finch,01532829-n,01532829-n,True,2.16
linnet,linnet,01532829-n,01531344-n,False,2.15
Carpodacus mexicanus,carpophagous,01532829-n,00314466-s,False,2.18
junco,junco,01534433-n,01534433-n,True,2.17
snowbird,catbird,01534433-n,01587526-n,False,2.21
indigo bunting,indigo bunting,01537544-n,01537544-n,True,2.19
indigo finch,purple finch,01537544-n,01533000-n,False,2.19
indigo bird,bastard indigo,01537544-n,12572759-n,False,2.15
Passerina cyanea,Passerina,01537544-n,01537360-n,False,2.32
robin,robin,01558993-n,01562265-n,False,2.26
American robin,robin,01558993-n,01562265-n,False,2.24
Turdus migratorius,Turdus,01558993-n,01557697-n,False,2.2
bulbul,bulbul,01560419-n,01560419-n,True,2.21
