query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
tench,http://example.org/wordnet.owl#C_01440764-n,01440764-n,01440764-n,True,78.33,0.01
Tinca tinca,http://example.org/wordnet.owl#C_01440764-n,01440764-n,01440764-n,True,63.3,0.0
goldfish,http://example.org/wordnet.owl#C_01443537-n,01443537-n,01443537-n,True,74.41,0.01
Carassius auratus,http://example.org/wordnet.owl#C_01443537-n,01443537-n,01443537-n,True,63.6,0.0
great white shark,http://example.org/wordnet.owl#C_01484850-n,01484850-n,01484850-n,True,74.78,0.01
white shark,N/A,01484850-n,N/A,False,75.36,0.0
man-eater,N/A,01484850-n,N/A,False,122.4,0.0
man-eating shark,N/A,01484850-n,N/A,False,74.16,0.0
Carcharodon carcharias,N/A,01484850-n,N/A,False,74.83,0.0
tiger shark,http://example.org/wordnet.owl#C_01491361-n,01491361-n,01491361-n,True,75.55,0.01
Galeocerdo cuvieri,N/A,01491361-n,N/A,False,64.42,0.0
hammerhead,http://example.org/wordnet.owl#C_03482128-n,01494475-n,03482128-n,False,169.18,0.04
hammerhead shark,http://example.org/wordnet.owl#C_03482128-n,01494475-n,03482128-n,False,63.43,0.01
electric ray,http://example.org/wordnet.owl#C_04456964-n,01496331-n,04456964-n,False,75.56,0.02
crampfish,http://example.org/wordnet.owl#C_04457157-n,01496331-n,04457157-n,False,71.32,0.01
numbfish,http://example.org/wordnet.owl#C_04457157-n,01496331-n,04457157-n,False,69.78,0.01
torpedo,http://example.org/wordnet.owl#C_04457157-n,01496331-n,04457157-n,False,408.14,0.02
stingray,http://example.org/wordnet.owl#C_01498041-n,01498041-n,01498041-n,True,64.09,0.01
cock,http://example.org/wordnet.owl#C_05526713-n,01514668-n,05526713-n,False,405.6,0.02
hen,http://example.org/wordnet.owl#C_07646067-n,01514859-n,07646067-n,False,216.17,0.02
ostrich,http://example.org/wordnet.owl#C_10385707-n,01518878-n,10385707-n,False,123.24,0.01
Struthio camelus,http://example.org/wordnet.owl#C_10385707-n,01518878-n,10385707-n,False,63.8,0.01
brambling,http://example.org/wordnet.owl#C_01530575-n,01530575-n,01530575-n,True,74.94,0.01
Fringilla montifringilla,http://example.org/wordnet.owl#C_01530575-n,01530575-n,01530575-n,True,64.09,0.0
goldfinch,http://example.org/wordnet.owl#C_01531178-n,01531178-n,01531178-n,True,126.12,0.01
Carduelis carduelis,http://example.org/wordnet.owl#C_01531178-n,01531178-n,01531178-n,True,63.89,0.0
house finch,http://example.org/wordnet.owl#C_01532829-n,01532829-n,01532829-n,True,75.65,0.01
linnet,http://example.org/wordnet.owl#C_01531344-n,01532829-n,01531344-n,False,121.9,0.01
Carpodacus mexicanus,http://example.org/wordnet.owl#C_01531344-n,01532829-n,01531344-n,False,69.13,0.0
junco,http://example.org/wordnet.owl#C_01534433-n,01534433-n,01534433-n,True,75.4,0.01
snowbird,http://example.org/wordnet.owl#C_11509066-n,01534433-n,11509066-n,False,168.21,0.0
indigo bunting,http://example.org/wordnet.owl#C_01537544-n,01537544-n,01537544-n,True,75.98,0.01
indigo finch,N/A,01537544-n,N/A,False,75.17,0.0
indigo bird,N/A,01537544-n,N/A,False,75.34,0.0
Passerina cyanea,N/A,01537544-n,N/A,False,76.33,0.0
robin,http://example.org/wordnet.owl#C_01562265-n,01558993-n,01562265-n,False,125.02,0.02
American robin,http://example.org/wordnet.owl#C_01562265-n,01558993-n,01562265-n,False,70.98,0.01
Turdus migratorius,http://example.org/wordnet.owl#C_01562265-n,01558993-n,01562265-n,False,72.15,0.01
bulbul,http://example.org/wordnet.owl#C_01560419-n,01560419-n,01560419-n,True,65.86,0.01
jay,http://example.org/wordnet.owl#C_11081111-n,01580077-n,11081111-n,False,122.62,0.01
magpie,http://example.org/wordnet.owl#C_10281276-n,01582220-n,10281276-n,False,173.47,0.02
chickadee,http://example.org/wordnet.owl#C_01592084-n,01592084-n,01592084-n,True,64.72,0.01
water ouzel,http://example.org/wordnet.owl#C_03204306-n,01601694-n,03204306-n,False,77.29,0.01
dipper,http://example.org/wordnet.owl#C_03204306-n,01601694-n,03204306-n,False,263.99,0.01
kite,http://example.org/wordnet.owl#C_13382471-n,01608432-n,13382471-n,False,403.94,0.02
bald eagle,http://example.org/wordnet.owl#C_01614925-n,01614925-n,01614925-n,True,75.43,0.01
American eagle,N/A,01614925-n,N/A,False,69.71,0.0
Haliaeetus leucocephalus,N/A,01614925-n,N/A,False,69.55,0.0
vulture,http://example.org/wordnet.owl#C_10293172-n,01616318-n,10293172-n,False,122.56,0.01
great grey owl,http://example.org/wordnet.owl#C_01622779-n,01622779-n,01622779-n,True,74.79,0.01
great gray owl,N/A,01622779-n,N/A,False,69.39,0.0
Strix nebulosa,N/A,01622779-n,N/A,False,70.25,0.0
European fire salamander,http://example.org/wordnet.owl#C_01629819-n,01629819-n,01629819-n,True,75.28,0.01
Salamandra salamandra,N/A,01629819-n,N/A,False,63.92,0.0
common newt,http://example.org/wordnet.owl#C_01630670-n,01630670-n,01630670-n,True,75.38,0.01
Triturus vulgaris,N/A,01630670-n,N/A,False,63.99,0.0
eft,http://example.org/wordnet.owl#C_01631663-n,01631663-n,01631663-n,True,64.06,0.01
spotted salamander,http://example.org/wordnet.owl#C_01632458-n,01632458-n,01632458-n,True,123.11,0.01
Ambystoma maculatum,N/A,01632458-n,N/A,False,64.45,0.0
axolotl,http://example.org/wordnet.owl#C_01632777-n,01632777-n,01632777-n,True,74.55,0.01
mud puppy,http://example.org/wordnet.owl#C_01634522-n,01632777-n,01634522-n,False,169.33,0.01
Ambystoma mexicanum,http://example.org/wordnet.owl#C_01632777-n,01632777-n,01632777-n,True,70.01,0.0
bullfrog,http://example.org/wordnet.owl#C_01641577-n,01641577-n,01641577-n,True,74.56,0.01
Rana catesbeiana,http://example.org/wordnet.owl#C_01641577-n,01641577-n,01641577-n,True,64.1,0.0
tree frog,http://example.org/wordnet.owl#C_01644373-n,01644373-n,01644373-n,True,122.96,0.01
tree-frog,N/A,01644373-n,N/A,False,121.88,0.0
tailed frog,http://example.org/wordnet.owl#C_01644900-n,01644900-n,01644900-n,True,75.56,0.01
bell toad,N/A,01644900-n,N/A,False,74.8,0.0
ribbed toad,N/A,01644900-n,N/A,False,75.08,0.0
tailed toad,N/A,01644900-n,N/A,False,74.78,0.0
Ascaphus trui,N/A,01644900-n,N/A,False,75.88,0.0
loggerhead,http://example.org/wordnet.owl#C_01664065-n,01664065-n,01664065-n,True,121.98,0.01
loggerhead turtle,http://example.org/wordnet.owl#C_01664065-n,01664065-n,01664065-n,True,70.09,0.0
Caretta caretta,http://example.org/wordnet.owl#C_01664065-n,01664065-n,01664065-n,True,70.42,0.0
leatherback turtle,http://example.org/wordnet.owl#C_01665541-n,01665541-n,01665541-n,True,75.69,0.01
leatherback,N/A,01665541-n,N/A,False,69.65,0.0
leathery turtle,N/A,01665541-n,N/A,False,75.19,0.0
Dermochelys coriacea,N/A,01665541-n,N/A,False,75.59,0.0
mud turtle,http://example.org/wordnet.owl#C_01667114-n,01667114-n,01667114-n,True,69.38,0.01
terrapin,http://example.org/wordnet.owl#C_01667778-n,01667778-n,01667778-n,True,63.95,0.01
box turtle,http://example.org/wordnet.owl#C_01669191-n,01669191-n,01669191-n,True,75.26,0.01
box tortoise,N/A,01669191-n,N/A,False,63.16,0.0
banded gecko,http://example.org/wordnet.owl#C_01675722-n,01675722-n,01675722-n,True,69.17,0.01
common iguana,http://example.org/wordnet.owl#C_01677366-n,01677366-n,01677366-n,True,76.23,0.01
iguana,N/A,01677366-n,N/A,False,64.32,0.0
Iguana iguana,N/A,01677366-n,N/A,False,69.59,0.0
American chameleon,http://example.org/wordnet.owl#C_01682714-n,01682714-n,01682714-n,True,75.66,0.01
anole,N/A,01682714-n,N/A,False,63.7,0.0
Anolis carolinensis,N/A,01682714-n,N/A,False,69.19,0.0
whiptail,http://example.org/wordnet.owl#C_01685808-n,01685808-n,01685808-n,True,74.98,0.01
whiptail lizard,http://example.org/wordnet.owl#C_01685808-n,01685808-n,01685808-n,True,63.42,0.0
agama,http://example.org/wordnet.owl#C_01687978-n,01687978-n,01687978-n,True,63.4,0.01
frilled lizard,http://example.org/wordnet.owl#C_01688243-n,01688243-n,01688243-n,True,74.48,0.01
Chlamydosaurus kingi,N/A,01688243-n,N/A,False,63.77,0.0
alligator lizard,http://example.org/wordnet.owl#C_01689811-n,01689811-n,01689811-n,True,68.97,0.01
Gila monster,http://example.org/wordnet.owl#C_01692333-n,01692333-n,01692333-n,True,75.38,0.01
Heloderma suspectum,N/A,01692333-n,N/A,False,63.79,0.0
green lizard,http://example.org/wordnet.owl#C_01693334-n,01693334-n,01693334-n,True,74.81,0.01
Lacerta viridis,N/A,01693334-n,N/A,False,63.8,0.0
African chameleon,http://example.org/wordnet.owl#C_01694178-n,01694178-n,01694178-n,True,74.98,0.01
Chamaeleo chamaeleon,N/A,01694178-n,N/A,False,63.17,0.0
Komodo dragon,http://example.org/wordnet.owl#C_01695060-n,01695060-n,01695060-n,True,75.01,0.01
Komodo lizard,N/A,01695060-n,N/A,False,75.34,0.0
dragon lizard,N/A,01695060-n,N/A,False,74.89,0.0
giant lizard,N/A,01695060-n,N/A,False,74.1,0.0
Varanus komodoensis,N/A,01695060-n,N/A,False,74.77,0.0
African crocodile,http://example.org/wordnet.owl#C_01697457-n,01697457-n,01697457-n,True,75.08,0.01
Nile crocodile,N/A,01697457-n,N/A,False,68.63,0.0
Crocodylus niloticus,N/A,01697457-n,N/A,False,69.13,0.0
American alligator,http://example.org/wordnet.owl#C_01698640-n,01698640-n,01698640-n,True,74.61,0.01
Alligator mississipiensis,N/A,01698640-n,N/A,False,63.18,0.0
triceratops,http://example.org/wordnet.owl#C_01704323-n,01704323-n,01704323-n,True,64.13,0.01
thunder snake,http://example.org/wordnet.owl#C_01728572-n,01728572-n,01728572-n,True,75.45,0.01
worm snake,N/A,01728572-n,N/A,False,122.17,0.0
Carphophis amoenus,N/A,01728572-n,N/A,False,69.3,0.0
ringneck snake,http://example.org/wordnet.owl#C_01728920-n,01728920-n,01728920-n,True,75.03,0.01
ring-necked snake,N/A,01728920-n,N/A,False,68.99,0.0
ring snake,N/A,01728920-n,N/A,False,121.88,0.0
hognose snake,http://example.org/wordnet.owl#C_01753032-n,01729322-n,01753032-n,False,74.88,0.01
puff adder,http://example.org/wordnet.owl#C_01753032-n,01729322-n,01753032-n,False,122.31,0.01
sand viper,N/A,01729322-n,N/A,False,122.21,0.0
green snake,http://example.org/wordnet.owl#C_01730563-n,01729977-n,01730563-n,False,121.17,0.01
grass snake,http://example.org/wordnet.owl#C_01737875-n,01729977-n,01737875-n,False,168.89,0.01
king snake,http://example.org/wordnet.owl#C_01734418-n,01734418-n,01734418-n,True,75.07,0.01
kingsnake,N/A,01734418-n,N/A,False,57.87,0.0
garter snake,http://example.org/wordnet.owl#C_01737875-n,01735189-n,01737875-n,False,76.79,0.01
grass snake,http://example.org/wordnet.owl#C_01737875-n,01735189-n,01737875-n,False,169.54,0.01
water snake,http://example.org/wordnet.owl#C_01737021-n,01737021-n,01737021-n,True,69.49,0.01
vine snake,http://example.org/wordnet.owl#C_01739381-n,01739381-n,01739381-n,True,69.44,0.01
night snake,http://example.org/wordnet.owl#C_01740131-n,01740131-n,01740131-n,True,75.32,0.01
Hypsiglena torquata,N/A,01740131-n,N/A,False,63.71,0.0
boa constrictor,http://example.org/wordnet.owl#C_01742172-n,01742172-n,01742172-n,True,74.57,0.01
