query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
bird on left,bird,01503061-n,01503061-n,True,2.53,0.0
bird's tail tip,bird's foot,01503061-n,02154416-n,False,2.43,0.0
number of birds,finch,01503061-n,01529672-n,False,2.45,0.0
little black bird,pigeon hawk,01503061-n,01612275-n,False,2.43,0.0
four birds,dove,01503061-n,01812337-n,False,2.43,0.0
bird is perched,bird feeder,01503061-n,02843553-n,False,2.49,0.0
small white bird,white-throated sparrow,01503061-n,01535469-n,False,2.43,0.0
bird's,bird's foot,01503061-n,02154416-n,False,2.42,0.0
birds eating,bird feed,01503061-n,07805594-n,False,2.41,0.0
tail of the bird,bird's foot,01503061-n,02154416-n,False,2.39,0.0
swans are large bird,swan,01503061-n,01858441-n,False,2.39,0.0
many birds,rare bird,01503061-n,10507692-n,False,2.4,0.0
black bird,New World blackbird,01503061-n,01574045-n,False,2.43,0.0
bird dropping,pigeon droppings,01503061-n,14854764-n,False,2.4,0.0
dark birds.,night bird,01503061-n,01515078-n,False,2.42,0.0
"small bird,",sparrow hawk,01503061-n,01612122-n,False,2.39,0.0
wing of the bird,bird,01503061-n,01503061-n,True,2.43,0.0
five birds,birdcall,01503061-n,02843465-n,False,2.42,0.0
bunch of birds,dove,01503061-n,01812337-n,False,2.4,0.0
foot of bird,bird's foot,01503061-n,02154416-n,False,2.4,0.0
small bird,sparrow hawk,01503061-n,01612122-n,False,2.41,0.0
birds beak,beak,01503061-n,01758308-n,False,2.4,0.0
six birds,six,01503061-n,13744722-n,False,2.42,0.0
horse and bird,bird,01503061-n,07644382-n,False,2.43,0.0
black birds,New World blackbird,01503061-n,01574045-n,False,2.42,0.0
middle bird,early bird,01503061-n,10041684-n,False,2.61,0.0
some birds,bird,01503061-n,01503061-n,True,2.45,0.0
lone bird,rare bird,01503061-n,10507692-n,False,2.4,0.0
flying birds.,fly,01503061-n,02190166-n,False,2.39,0.0
bird,bird,01503061-n,07644382-n,False,2.42,0.0
caged bird,birdcage,01503061-n,02843276-n,False,2.4,0.0
little white birds,white-throated sparrow,01503061-n,01535469-n,False,2.41,0.0
