query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
bird on left,early bird,01503061-n,10041684-n,False,2,False,True,True,0.1014,0.0911
bird's tail tip,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0429,0.077
number of birds,finch,01503061-n,01529672-n,False,-1,False,False,False,0.0376,0.053
little black bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0201,0.0611
four birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.0225,0.0406
bird is perched,bird feeder,01503061-n,02843553-n,False,2,False,True,True,0.0246,0.0265
small white bird,pigeon hawk,01503061-n,01612275-n,False,4,False,False,True,0.0219,0.0273
bird's,bird's nest,01503061-n,09221571-n,False,-1,False,False,False,0.0211,0.0228
birds eating,bird feed,01503061-n,07805594-n,False,-1,False,False,False,0.021,0.0393
tail of the bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0204,0.038
swans are large bird,swan,01503061-n,01858441-n,False,-1,False,False,False,0.0215,0.0699
many birds,bird of paradise,01503061-n,01571126-n,False,-1,False,False,False,0.023,0.0263
black bird,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0205,0.0283
bird dropping,pigeon droppings,01503061-n,14854764-n,False,-1,False,False,False,0.022,0.0588
dark birds.,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0206,0.0389
"small bird,",dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.0214,0.0554
wing of the bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0203,0.0524
five birds,birdcall,01503061-n,02843465-n,False,-1,False,False,False,0.0218,0.0463
bunch of birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.0214,0.0462
foot of bird,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0215,0.0446
small bird,dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.023,0.0005
birds beak,beak,01503061-n,12875594-n,False,-1,False,False,False,0.024,0.0871
six birds,six,01503061-n,13744722-n,False,-1,False,False,False,0.0343,0.051
horse and bird,bird,01503061-n,07644382-n,False,2,False,True,True,0.0343,0.0157
black birds,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.023,0.0109
middle bird,early bird,01503061-n,10041684-n,False,-1,False,False,False,0.0209,0.0238
some birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.0205,0.0005
lone bird,young bird,01503061-n,01613615-n,False,-1,False,False,False,0.025,0.048
flying birds.,fly,01503061-n,02190166-n,False,-1,False,False,False,0.036,0.0488
bird,bird,01503061-n,07644382-n,False,4,False,False,True,0.0251,0.0145
caged bird,birdcage,01503061-n,02843276-n,False,-1,False,False,False,0.0231,0.0542
little white birds,white-throated sparrow,01503061-n,01535469-n,False,-1,False,False,False,0.0417,0.0275
birds,bird,01503061-n,07644382-n,False,2,False,True,True,0.033,0.0005
"bird,",bird,01503061-n,07644382-n,False,3,False,True,True,0.0219,0.0006
bird is lone,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0217,0.0005
large predatory bird,bird of prey,01503061-n,01604330-n,False,-1,False,False,False,0.0221,0.0319
bird flying,flight,01503061-n,02484771-v,False,-1,False,False,False,0.0215,0.0146
group of birds,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0243,0.0207
white bird,white-throated sparrow,01503061-n,01535469-n,False,4,False,False,True,0.0444,0.0005
bird is exotic,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.019,0.0231
this is a bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0222,0.0008
angry bird,gallows bird,01503061-n,10118208-n,False,2,False,True,True,0.0229,0.0166
blue bird,bluebird,01503061-n,01562014-n,False,-1,False,False,False,0.0216,0.0471
beak of the bird,beak,01503061-n,12875594-n,False,-1,False,False,False,0.0197,0.0005
family of birds,coastal diving bird,01503061-n,02040505-n,False,-1,False,False,False,0.0209,0.0616
brown bird,prairie chicken,01503061-n,01798484-n,False,-1,False,False,False,0.0421,0.027
seven birds,seven,01503061-n,02186970-s,False,-1,False,False,False,0.021,0.0254
flock of birds.,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0208,0.0373
one bird,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0219,0.0238
colorful bird,parrot,01503061-n,01816887-n,False,2,False,True,True,0.0231,0.0466
