query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
bird on left,bird on left,01503061-n,N/A,False,0.0,0.0
bird's tail tip,bird's tail tip,01503061-n,N/A,False,0.0,0.0
number of birds,number of birds,01503061-n,N/A,False,0.0,0.0
little black bird,little black bird,01503061-n,N/A,False,0.0,0.0
four birds,four birds,01503061-n,N/A,False,0.0,0.0
bird is perched,bird is perched,01503061-n,N/A,False,0.0,0.0
small white bird,small white bird,01503061-n,N/A,False,0.0,0.0
bird's,bird's,01503061-n,N/A,False,0.0,0.0
birds eating,birds eating,01503061-n,N/A,False,0.0,0.0
tail of the bird,tail of the bird,01503061-n,N/A,False,0.0,0.0
swans are large bird,swans are large bird,01503061-n,N/A,False,0.0,0.0
many birds,many birds,01503061-n,N/A,False,0.0,0.0
black bird,black bird,01503061-n,N/A,False,0.0,0.0
bird dropping,bird dropping,01503061-n,N/A,False,0.0,0.0
dark birds.,dark birds.,01503061-n,N/A,False,0.0,0.0
"small bird,","small bird,",01503061-n,N/A,False,0.0,0.0
wing of the bird,wing of the bird,01503061-n,N/A,False,0.0,0.0
five birds,five birds,01503061-n,N/A,False,0.0,0.0
bunch of birds,bunch of birds,01503061-n,N/A,False,0.0,0.0
foot of bird,foot of bird,01503061-n,N/A,False,0.0,0.0
small bird,small bird,01503061-n,N/A,False,0.0,0.0
birds beak,birds beak,01503061-n,N/A,False,0.0,0.0
six birds,six birds,01503061-n,N/A,False,0.0,0.0
horse and bird,horse and bird,01503061-n,N/A,False,0.0,0.0
black birds,black birds,01503061-n,N/A,False,0.0,0.0
middle bird,middle bird,01503061-n,N/A,False,0.0,0.0
some birds,some birds,01503061-n,N/A,False,0.0,0.0
lone bird,lone bird,01503061-n,N/A,False,0.0,0.0
flying birds.,flying birds.,01503061-n,N/A,False,0.0,0.0
bird,http://example.org/wordnet.owl#C_07644382-n,01503061-n,07644382-n,False,0.03,0.0
caged bird,caged bird,01503061-n,N/A,False,0.0,0.0
little white birds,little white birds,01503061-n,N/A,False,0.0,0.0
birds,N/A,01503061-n,N/A,False,0.0,0.0
"bird,","bird,",01503061-n,N/A,False,0.0,0.0
bird is lone,bird is lone,01503061-n,N/A,False,0.0,0.0
large predatory bird,large predatory bird,01503061-n,N/A,False,0.0,0.0
bird flying,bird flying,01503061-n,N/A,False,0.0,0.0
group of birds,group of birds,01503061-n,N/A,False,0.0,0.0
white bird,white bird,01503061-n,N/A,False,0.0,0.0
bird is exotic,bird is exotic,01503061-n,N/A,False,0.0,0.0
this is a bird,this is a bird,01503061-n,N/A,False,0.0,0.0
angry bird,angry bird,01503061-n,N/A,False,0.0,0.0
blue bird,blue bird,01503061-n,N/A,False,0.0,0.0
beak of the bird,beak of the bird,01503061-n,N/A,False,0.0,0.0
family of birds,family of birds,01503061-n,N/A,False,0.0,0.0
brown bird,brown bird,01503061-n,N/A,False,0.0,0.0
seven birds,seven birds,01503061-n,N/A,False,0.0,0.0
flock of birds.,flock of birds.,01503061-n,N/A,False,0.0,0.0
one bird,one bird,01503061-n,N/A,False,0.0,0.0
colorful bird,colorful bird,01503061-n,N/A,False,0.0,0.0
bird 3,bird 3,01503061-n,N/A,False,0.0,0.0
bird 2,bird 2,01503061-n,N/A,False,0.0,0.0
bird in it,bird in it,01503061-n,N/A,False,0.0,0.0
small birds perched,small birds perched,01503061-n,N/A,False,0.0,0.0
band like a bird,band like a bird,01503061-n,N/A,False,0.0,0.0
grey bird,grey bird,01503061-n,N/A,False,0.0,0.0
bird is unusual,bird is unusual,01503061-n,N/A,False,0.0,0.0
large bird,large bird,01503061-n,N/A,False,0.0,0.0
front of bird,front of bird,01503061-n,N/A,False,0.0,0.0
three birds,three birds,01503061-n,N/A,False,0.0,0.0
head of bird,head of bird,01503061-n,N/A,False,0.0,0.0
small bird flying,small bird flying,01503061-n,N/A,False,0.0,0.0
bird is white,bird is white,01503061-n,N/A,False,0.0,0.0
birds face,birds face,01503061-n,N/A,False,0.0,0.0
green birds,green birds,01503061-n,N/A,False,0.0,0.0
variety of birds,variety of birds,01503061-n,N/A,False,0.0,0.0
red angry bird,red angry bird,01503061-n,N/A,False,0.0,0.0
flying bird.,flying bird.,01503061-n,N/A,False,0.0,0.0
big flying bird,big flying bird,01503061-n,N/A,False,0.0,0.0
birds flying.,birds flying.,01503061-n,N/A,False,0.0,0.0
bird roosting,bird roosting,01503061-n,N/A,False,0.0,0.0
pair of birds,pair of birds,01503061-n,N/A,False,0.0,0.0
bird is flying above,bird is flying above,01503061-n,N/A,False,0.0,0.0
two young birds,two young birds,01503061-n,N/A,False,0.0,0.0
several birds,several birds,01503061-n,N/A,False,0.0,0.0
multiple birds,multiple birds,01503061-n,N/A,False,0.0,0.0
little birds,little birds,01503061-n,N/A,False,0.0,0.0
flying bird,http://example.org/wordnet.owl#C_01517966-n,01503061-n,01517966-n,False,0.0,0.0
bird is on,bird is on,01503061-n,N/A,False,0.0,0.0
part of bird,part of bird,01503061-n,N/A,False,0.0,0.0
bird sitting,bird sitting,01503061-n,N/A,False,0.0,0.0
animated bird,animated bird,01503061-n,N/A,False,0.0,0.0
no birds,no birds,01503061-n,N/A,False,0.0,0.0
rear bird,rear bird,01503061-n,N/A,False,0.0,0.0
birds riding,birds riding,01503061-n,N/A,False,0.0,0.0
there is a bird,there is a bird,01503061-n,N/A,False,0.0,0.0
bird is hanging,bird is hanging,01503061-n,N/A,False,0.0,0.0
black birds.,black birds.,01503061-n,N/A,False,0.0,0.0
red bird,red bird,01503061-n,N/A,False,0.0,0.0
bird is flying,bird is flying,01503061-n,N/A,False,0.0,0.0
3 birds,3 birds,01503061-n,N/A,False,0.0,0.0
bird has,bird has,01503061-n,N/A,False,0.0,0.0
birds head,birds head,01503061-n,N/A,False,0.0,0.0
bird is yellow,bird is yellow,01503061-n,N/A,False,0.0,0.0
tiny bird,tiny bird,01503061-n,N/A,False,0.0,0.0
two birds,two birds,01503061-n,N/A,False,0.0,0.0
yellow bird,yellow bird,01503061-n,N/A,False,0.0,0.0
bird is looking,bird is looking,01503061-n,N/A,False,0.0,0.0
hungry bird,hungry bird,01503061-n,N/A,False,0.0,0.0
yellow bananas,yellow bananas,12352287-n,N/A,False,0.0,0.0
stem of banana,stem of banana,12352287-n,N/A,False,0.0,0.0
mark on the banana,mark on the banana,12352287-n,N/A,False,0.0,0.0
bananas bright yello,bananas bright yello,12352287-n,N/A,False,0.0,0.0
bad banana,bad banana,12352287-n,N/A,False,0.0,0.0
red banana,red banana,12352287-n,N/A,False,0.0,0.0
between bananas,between bananas,12352287-n,N/A,False,0.0,0.0
banana is crescent,banana is crescent,12352287-n,N/A,False,0.0,0.0
near bananas,near bananas,12352287-n,N/A,False,0.0,0.0
bananas stems,bananas stems,12352287-n,N/A,False,0.0,0.0
holding bananas,holding bananas,12352287-n,N/A,False,0.0,0.0
bowl of bananas,bowl of bananas,12352287-n,N/A,False,0.0,0.0
banana being eaten,banana being eaten,12352287-n,N/A,False,0.0,0.0
unripe bananas,unripe bananas,12352287-n,N/A,False,0.0,0.0
stuffed bananas,stuffed bananas,12352287-n,N/A,False,0.0,0.0
bag of bananas,bag of bananas,12352287-n,N/A,False,0.0,0.0
tip of banana,tip of banana,12352287-n,N/A,False,0.0,0.0
yellow banana peels,yellow banana peels,12352287-n,N/A,False,0.0,0.0
of the bananas,of the bananas,12352287-n,N/A,False,0.0,0.0
shadow of banana,shadow of banana,12352287-n,N/A,False,0.0,0.0
half banana,half banana,12352287-n,N/A,False,0.0,0.0
