query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
tench,tench,01440764-n,01440764-n,True,2.93,0
Tinca tinca,Tinca,01440764-n,01440655-n,False,2.54,0
goldfish,goldfish,01443537-n,01443537-n,True,2.54,0
Carassius auratus,Carassius,01443537-n,01443398-n,False,2.55,0
great white shark,great white shark,01484850-n,01484850-n,True,2.56,0
white shark,great white shark,01484850-n,01484850-n,True,2.58,0
man-eater,eater,01484850-n,10042300-n,False,2.54,0
man-eating shark,shark,01484850-n,10586674-n,False,2.54,0
Carcharodon carcharias,Carcharodon,01484850-n,01484717-n,False,2.56,0
tiger shark,tiger shark,01491361-n,01491361-n,True,2.57,0
Galeocerdo cuvieri,Galeocerdo,01491361-n,01491235-n,False,2.55,0
hammerhead,hammerhead,01494475-n,03482128-n,False,2.55,0
hammerhead shark,hammerhead,01494475-n,01494475-n,True,2.54,0
electric ray,ray,01496331-n,02768431-v,False,2.55,0
crampfish,crayfish,01496331-n,07788885-n,False,2.54,0
numbfish,dealfish,01496331-n,02546627-n,False,2.51,0
torpedo,torpedo,01496331-n,01137983-v,False,2.69,0
stingray,stingray,01498041-n,01498041-n,True,2.53,0
cock,cock,01514668-n,05526713-n,False,2.54,0
hen,hen,01514859-n,01792640-n,False,2.54,0
ostrich,ostrich,01518878-n,01518878-n,True,2.74,0
Struthio camelus,Struthio,01518878-n,01518718-n,False,2.75,0
brambling,brambling,01530575-n,01530575-n,True,2.56,0
Fringilla montifringilla,Fringilla,01530575-n,01530256-n,False,2.57,0
goldfinch,goldfinch,01531178-n,01531178-n,True,2.55,0
Carduelis carduelis,Carduelis,01531178-n,01530846-n,False,2.65,0
house finch,house finch,01532829-n,01532829-n,True,2.62,0
linnet,linnet,01532829-n,01531344-n,False,2.55,0
Carpodacus mexicanus,carpophagous,01532829-n,00314466-s,False,2.56,0
junco,junco,01534433-n,01534433-n,True,2.56,0
snowbird,catbird,01534433-n,01587526-n,False,2.53,0
indigo bunting,indigo bunting,01537544-n,01537544-n,True,2.54,0
indigo finch,purple finch,01537544-n,01533000-n,False,2.53,0
indigo bird,bastard indigo,01537544-n,12572759-n,False,2.59,0
Passerina cyanea,Passerina,01537544-n,01537360-n,False,2.57,0
robin,robin,01558993-n,01562265-n,False,2.54,0
American robin,robin,01558993-n,01562265-n,False,2.57,0
Turdus migratorius,Turdus,01558993-n,01557697-n,False,2.52,0
bulbul,bulbul,01560419-n,01560419-n,True,2.55,0
jay,jay,01580077-n,01580077-n,True,2.54,0
magpie,magpie,01582220-n,10281276-n,False,2.55,0
chickadee,chickadee,01592084-n,01592084-n,True,2.56,0
water ouzel,European water ouzel,01601694-n,01602080-n,False,2.55,0
dipper,dipper,01601694-n,03204306-n,False,2.54,0
kite,kite,01608432-n,01848190-v,False,2.73,0
bald eagle,bald eagle,01614925-n,01614925-n,True,2.73,0
American eagle,eagle,01614925-n,06881563-n,False,2.55,0
Haliaeetus leucocephalus,Haliaeetus,01614925-n,01614769-n,False,2.54,0
vulture,vulture,01616318-n,01616318-n,True,2.72,0
great grey owl,great grey owl,01622779-n,01622779-n,True,2.72,0
great gray owl,great grey owl,01622779-n,01622779-n,True,2.58,0
Strix nebulosa,Corixa,01622779-n,02243065-n,False,2.54,0
European fire salamander,European fire salamander,01629819-n,01629819-n,True,2.55,0
Salamandra salamandra,Salamandra,01629819-n,01629093-n,False,2.6,0
common newt,common newt,01630670-n,01630670-n,True,2.53,0
Triturus vulgaris,Trilisa,01630670-n,12027864-n,False,2.54,0
eft,eft,01631663-n,01631663-n,True,2.56,0
spotted salamander,spotted salamander,01632458-n,01632458-n,True,2.54,0
Ambystoma maculatum,Ambystoma,01632458-n,01631903-n,False,2.54,0
axolotl,axolotl,01632777-n,01632777-n,True,2.55,0
mud puppy,mud puppy,01632777-n,01634522-n,False,2.54,0
Ambystoma mexicanum,Ambystoma,01632777-n,01631903-n,False,2.55,0
bullfrog,bullfrog,01641577-n,01641577-n,True,2.55,0
Rana catesbeiana,Rana,01641577-n,01640567-n,False,2.54,0
tree frog,tree frog,01644373-n,01644373-n,True,2.54,0
tree-frog,tree frog,01644373-n,01644373-n,True,2.54,0
tailed frog,tailed frog,01644900-n,01644900-n,True,2.55,0
bell toad,fire-bellied toad,01644900-n,01648620-n,False,2.56,0
ribbed toad,true toad,01644900-n,01645776-n,False,2.54,0
tailed toad,true toad,01644900-n,01645776-n,False,2.54,0
Ascaphus trui,Ascaphus,01644900-n,01644699-n,False,2.55,0
loggerhead,at loggerheads,01664065-n,01245441-s,False,2.55,0
loggerhead turtle,loggerhead,01664065-n,01664065-n,True,2.56,0
Caretta caretta,Caretta,01664065-n,01663939-n,False,2.54,0
leatherback turtle,leatherback turtle,01665541-n,01665541-n,True,2.53,0
leatherback,leatherette,01665541-n,03653110-n,False,2.56,0
leathery turtle,leatherback turtle,01665541-n,01665541-n,True,2.54,0
Dermochelys coriacea,Dermochelys,01665541-n,01665372-n,False,2.55,0
mud turtle,mud turtle,01667114-n,01667114-n,True,2.54,0
terrapin,terrapin,01667778-n,01667778-n,True,2.59,0
box turtle,box turtle,01669191-n,01669191-n,True,2.63,0
box tortoise,Terrapene,01669191-n,01669068-n,False,2.57,0
banded gecko,banded gecko,01675722-n,01675722-n,True,2.74,0
common iguana,common iguana,01677366-n,01677366-n,True,2.73,0
iguana,common iguana,01677366-n,01677366-n,True,2.72,0
Iguana iguana,genus Iguana,01677366-n,01677242-n,False,2.66,0
American chameleon,American chameleon,01682714-n,01682714-n,True,2.53,0
anole,atole,01682714-n,07703515-n,False,2.54,0
Anolis carolinensis,Anolis,01682714-n,01682588-n,False,2.55,0
whiptail,whiptail,01685808-n,01685808-n,True,2.54,0
whiptail lizard,whiptail,01685808-n,01685808-n,True,2.63,0
agama,agama,01687978-n,01687978-n,True,2.6,0
frilled lizard,frilled lizard,01688243-n,01688243-n,True,2.53,0
Chlamydosaurus kingi,Chlamydosaurus,01688243-n,01688106-n,False,2.55,0
alligator lizard,alligator lizard,01689811-n,01689811-n,True,2.53,0
Gila monster,Gila monster,01692333-n,01692333-n,True,2.53,0
Heloderma suspectum,Heloderma,01692333-n,01692143-n,False,2.56,0
green lizard,green lizard,01693334-n,01693334-n,True,2.53,0
Lacerta viridis,Lacerta,01693334-n,01693020-n,False,2.69,0
African chameleon,African chameleon,01694178-n,01694178-n,True,2.73,0
Chamaeleo chamaeleon,Chamaeleo,01694178-n,01693995-n,False,2.79,0
Komodo dragon,Komodo dragon,01695060-n,01695060-n,True,2.74,0
Komodo lizard,Komodo dragon,01695060-n,01695060-n,True,2.75,0
dragon lizard,dragon,01695060-n,01688589-n,False,2.71,0
giant lizard,giant,01695060-n,01323781-n,False,2.54,0
Varanus komodoensis,Varanus,01695060-n,01694558-n,False,2.55,0
African crocodile,African crocodile,01697457-n,01697457-n,True,2.57,0
Nile crocodile,African crocodile,01697457-n,01697457-n,True,2.54,0
Crocodylus niloticus,Crocodylus,01697457-n,01697002-n,False,2.54,0
American alligator,American alligator,01698640-n,01698640-n,True,2.56,0
Alligator mississipiensis,Alligatoridae,01698640-n,01698144-n,False,2.52,0
triceratops,triceratops,01704323-n,01704323-n,True,2.53,0
thunder snake,thunder snake,01728572-n,01728572-n,True,2.55,0
worm snake,worm,01728572-n,10792028-n,False,2.53,0
Carphophis amoenus,Carphophis,01728572-n,01728445-n,False,2.54,0
ringneck snake,ringneck snake,01728920-n,01728920-n,True,2.53,0
ring-necked snake,ringneck snake,01728920-n,01728920-n,True,2.54,0
