query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
bird on left,bird,01503061-n,01503061-n,True,1,True,True,True,0.0687,0.0001
bird's tail tip,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0208,0.0002
number of birds,finch,01503061-n,01529672-n,False,-1,False,False,False,0.0212,0.0001
little black bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0201,0.0001
four birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.0253,0.0001
bird is perched,bird feeder,01503061-n,02843553-n,False,2,False,True,True,0.0281,0.0002
small white bird,white-throated sparrow,01503061-n,01535469-n,False,5,False,False,True,0.0331,0.0002
bird's,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0222,0.0002
birds eating,bird feed,01503061-n,07805594-n,False,-1,False,False,False,0.021,0.0001
tail of the bird,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.023,0.0001
swans are large bird,swan,01503061-n,01858441-n,False,-1,False,False,False,0.0221,0.0002
many birds,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0223,0.0001
black bird,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0207,0.0001
bird dropping,pigeon droppings,01503061-n,14854764-n,False,-1,False,False,False,0.0313,0.0003
dark birds.,night bird,01503061-n,01515078-n,False,-1,False,False,False,0.0272,0.0001
"small bird,",sparrow hawk,01503061-n,01612122-n,False,-1,False,False,False,0.0206,0.0002
wing of the bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0205,0.0001
five birds,birdcall,01503061-n,02843465-n,False,-1,False,False,False,0.057,0.0002
bunch of birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.0491,0.0001
foot of bird,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0402,0.0001
small bird,sparrow hawk,01503061-n,01612122-n,False,-1,False,False,False,0.0199,0.0001
birds beak,beak,01503061-n,01758308-n,False,-1,False,False,False,0.0202,0.0002
six birds,six,01503061-n,13744722-n,False,-1,False,False,False,0.0219,0.0001
horse and bird,bird,01503061-n,07644382-n,False,3,False,True,True,0.0216,0.0002
black birds,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0239,0.0001
middle bird,early bird,01503061-n,10041684-n,False,-1,False,False,False,0.0215,0.0001
some birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.0214,0.0002
lone bird,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0199,0.0001
flying birds.,fly,01503061-n,02190166-n,False,-1,False,False,False,0.0199,0.0002
bird,bird,01503061-n,07644382-n,False,2,False,True,True,0.0191,0.0001
caged bird,birdcage,01503061-n,02843276-n,False,-1,False,False,False,0.0191,0.0001
little white birds,white-throated sparrow,01503061-n,01535469-n,False,-1,False,False,False,0.0193,0.0001
birds,bird,01503061-n,07644382-n,False,2,False,True,True,0.0197,0.0002
"bird,",bird,01503061-n,07644382-n,False,4,False,False,True,0.0198,0.0002
bird is lone,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.02,0.0002
large predatory bird,bird of prey,01503061-n,01604330-n,False,-1,False,False,False,0.0202,0.0001
bird flying,flight,01503061-n,02484771-v,False,-1,False,False,False,0.0194,0.0001
group of birds,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0205,0.0001
white bird,white-crowned sparrow,01503061-n,01535690-n,False,5,False,False,True,0.0201,0.0001
bird is exotic,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0203,0.0001
this is a bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.02,0.0001
angry bird,gallows bird,01503061-n,10118208-n,False,4,False,False,True,0.0196,0.0001
blue bird,bluebird,01503061-n,01562014-n,False,-1,False,False,False,0.023,0.0002
beak of the bird,beak,01503061-n,01758308-n,False,-1,False,False,False,0.024,0.0001
family of birds,coastal diving bird,01503061-n,02040505-n,False,-1,False,False,False,0.023,0.0004
brown bird,rifleman bird,01503061-n,01588996-n,False,-1,False,False,False,0.0236,0.0001
seven birds,seven,01503061-n,02186970-s,False,-1,False,False,False,0.0217,0.0001
flock of birds.,flock,01503061-n,07990956-n,False,-1,False,False,False,0.0428,0.0001
one bird,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0208,0.0001
colorful bird,parrot,01503061-n,01816887-n,False,2,False,True,True,0.0195,0.0001
bird 3,game bird,01503061-n,02153203-n,False,-1,False,False,False,0.0197,0.0001
bird 2,game bird,01503061-n,02153203-n,False,3,False,True,True,0.0202,0.0001
bird in it,game bird,01503061-n,02153203-n,False,-1,False,False,False,0.0204,0.0002
small birds perched,bird feeder,01503061-n,02843553-n,False,-1,False,False,False,0.0198,0.0001
band like a bird,band,01503061-n,02785191-n,False,-1,False,False,False,0.0215,0.0001
grey bird,African grey,01503061-n,01817953-n,False,-1,False,False,False,0.0214,0.0002
bird is unusual,rare bird,01503061-n,10507692-n,False,3,False,True,True,0.0224,0.0001
large bird,elephant bird,01503061-n,01522450-n,False,-1,False,False,False,0.02,0.0001
front of bird,front,01503061-n,03398467-n,False,-1,False,False,False,0.0215,0.0002
three birds,rare bird,01503061-n,10507692-n,False,2,False,True,True,0.0209,0.0001
head of bird,head,01503061-n,08664184-n,False,-1,False,False,False,0.0201,0.0001
small bird flying,hummingbird,01503061-n,01833805-n,False,-1,False,False,False,0.0201,0.0001
bird is white,white-crowned sparrow,01503061-n,01535690-n,False,-1,False,False,False,0.0194,0.0001
birds face,birdcage mask,01503061-n,02843365-n,False,-1,False,False,False,0.0197,0.0001
green birds,bird of paradise,01503061-n,01571126-n,False,-1,False,False,False,0.0205,0.0002
variety of birds,rare bird,01503061-n,10507692-n,False,2,False,True,True,0.0201,0.0001
red angry bird,redshank,01503061-n,02028035-n,False,-1,False,False,False,0.0203,0.0001
flying bird.,bird,01503061-n,01503061-n,True,1,True,True,True,0.024,0.0001
big flying bird,kingbird,01503061-n,01548301-n,False,-1,False,False,False,0.0212,0.0001
birds flying.,fly,01503061-n,02190166-n,False,-1,False,False,False,0.0198,0.0001
bird roosting,roost,01503061-n,04107984-n,False,-1,False,False,False,0.0211,0.0001
pair of birds,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0206,0.0002
bird is flying above,bird,01503061-n,01503061-n,True,1,True,True,True,0.0205,0.0001
two young birds,young bird,01503061-n,01613615-n,False,-1,False,False,False,0.0199,0.0001
several birds,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0202,0.0001
multiple birds,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0211,0.0001
