query,closest_label,target_id,result_id,correct,time_sec_candidate_selection,time_sec_disambiguation
tench,tench,01440764-n,01440764-n,True,2.53,0.08
Tinca tinca,tintack,01440764-n,04440399-n,False,2.45,0.07
goldfish,goldfish,01443537-n,01443537-n,True,2.41,0.07
Carassius auratus,silverfish,01443537-n,01443736-n,False,2.44,0.07
great white shark,great white shark,01484850-n,01484850-n,True,2.43,0.08
white shark,great white shark,01484850-n,01484850-n,True,2.47,0.07
man-eater,eater,01484850-n,10042300-n,False,2.42,0.07
man-eating shark,shark,01484850-n,10586674-n,False,2.41,0.06
Carcharodon carcharias,Carcharodon,01484850-n,01484717-n,False,2.44,0.07
tiger shark,tiger shark,01491361-n,01491361-n,True,2.41,0.06
Galeocerdo cuvieri,Galeocerdo,01491361-n,01491235-n,False,2.41,0.07
hammerhead,hammerhead,01494475-n,03482128-n,False,2.41,0.07
hammerhead shark,hammerhead,01494475-n,01494475-n,True,2.42,0.06
electric ray,electric ray,01496331-n,01496331-n,True,2.63,0.07
crampfish,crayfish,01496331-n,07788885-n,False,2.44,0.06
numbfish,dealfish,01496331-n,02546627-n,False,2.41,0.06
torpedo,torpedo,01496331-n,04457157-n,False,2.43,0.07
stingray,stingray,01498041-n,01498041-n,True,2.4,0.06
cock,cock,01514668-n,05526713-n,False,2.4,0.06
hen,hen,01514859-n,01792640-n,False,2.57,0.04
ostrich,ostrich,01518878-n,01518878-n,True,2.44,0.07
Struthio camelus,struthiomimus,01518878-n,01716298-n,False,2.41,0.06
brambling,brambling,01530575-n,01530575-n,True,2.41,0.08
Fringilla montifringilla,Montrachet,01530575-n,07894703-n,False,2.44,0.06
goldfinch,goldfinch,01531178-n,01531178-n,True,2.4,0.06
Carduelis carduelis,cardia,01531178-n,05396229-n,False,2.41,0.07
house finch,house finch,01532829-n,01532829-n,True,2.51,0.06
linnet,linnet,01532829-n,01531344-n,False,2.49,0.05
Carpodacus mexicanus,carpophagous,01532829-n,00314466-s,False,2.39,0.07
