query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
bird on left,early bird,01503061-n,10041684-n,False,2,False,True,True,0.3718,0.0903
bird's tail tip,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0244,0.0764
number of birds,finch,01503061-n,01529672-n,False,-1,False,False,False,0.037,0.0563
little black bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0247,0.0593
four birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.025,0.0379
bird is perched,bird feeder,01503061-n,02843553-n,False,2,False,True,True,0.0224,0.0279
small white bird,pigeon hawk,01503061-n,01612275-n,False,4,False,False,True,0.022,0.0286
bird's,bird's nest,01503061-n,09221571-n,False,-1,False,False,False,0.0223,0.0246
birds eating,bird feed,01503061-n,07805594-n,False,-1,False,False,False,0.0222,0.0428
tail of the bird,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0228,0.0261
swans are large bird,swan,01503061-n,01858441-n,False,-1,False,False,False,0.0229,0.0676
many birds,bird of paradise,01503061-n,01571126-n,False,-1,False,False,False,0.0209,0.0253
black bird,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0207,0.0262
bird dropping,pigeon droppings,01503061-n,14854764-n,False,-1,False,False,False,0.0204,0.055
dark birds.,pigeon hawk,01503061-n,01612275-n,False,-1,False,False,False,0.0219,0.0381
"small bird,",dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.0209,0.0521
wing of the bird,bird,01503061-n,01503061-n,True,1,True,True,True,0.0228,0.0489
five birds,birdcall,01503061-n,02843465-n,False,-1,False,False,False,0.0224,0.049
bunch of birds,dove,01503061-n,01812337-n,False,-1,False,False,False,0.0212,0.0479
foot of bird,bird's foot,01503061-n,02154416-n,False,-1,False,False,False,0.0229,0.0421
small bird,dickeybird,01503061-n,01503976-n,False,-1,False,False,False,0.0209,0.0007
birds beak,beak,01503061-n,12875594-n,False,-1,False,False,False,0.0212,0.0667
six birds,six,01503061-n,13744722-n,False,-1,False,False,False,0.0218,0.0471
horse and bird,bird,01503061-n,07644382-n,False,2,False,True,True,0.0215,0.0156
black birds,New World blackbird,01503061-n,01574045-n,False,-1,False,False,False,0.0223,0.0131
middle bird,early bird,01503061-n,10041684-n,False,-1,False,False,False,0.0195,0.0257
some birds,bird,01503061-n,01503061-n,True,1,True,True,True,0.0202,0.0006
lone bird,young bird,01503061-n,01613615-n,False,-1,False,False,False,0.0214,0.0441
flying birds.,fly,01503061-n,02190166-n,False,-1,False,False,False,0.0209,0.0466
bird,bird,01503061-n,07644382-n,False,4,False,False,True,0.019,0.0127
caged bird,birdcage,01503061-n,02843276-n,False,-1,False,False,False,0.021,0.044
little white birds,white-throated sparrow,01503061-n,01535469-n,False,-1,False,False,False,0.0216,0.0256
birds,bird,01503061-n,07644382-n,False,2,False,True,True,0.032,0.0012
"bird,",bird,01503061-n,07644382-n,False,3,False,True,True,0.038,0.0005
bird is lone,rare bird,01503061-n,10507692-n,False,-1,False,False,False,0.0206,0.001
large predatory bird,bird of prey,01503061-n,01604330-n,False,-1,False,False,False,0.0219,0.0321
